episode_index,family,log_loss
0,uniform,1.09861228866811
1,uniform,1.09861228866811
2,uniform,1.09861228866811
3,uniform,1.09861228866811
4,uniform,1.09861228866811
5,uniform,1.09861228866811
6,uniform,1.09861228866811
7,uniform,1.09861228866811
8,uniform,1.09861228866811
9,uniform,1.09861228866811
10,uniform,1.09861228866811
11,uniform,1.09861228866811
12,uniform,1.09861228866811
13,uniform,1.09861228866811
14,uniform,1.09861228866811
15,uniform,1.09861228866811
16,uniform,1.09861228866811
17,uniform,1.09861228866811
18,uniform,1.09861228866811
19,uniform,1.09861228866811
0,expertise,0.05725821571603641
1,expertise,0.12301100879188002
2,expertise,0.6051981580147331
3,expertise,0.035340618024088534
4,expertise,0.18876380186772365
5,expertise,0.05725821571603641
6,expertise,0.03534061802408853
7,expertise,0.49561016955499354
8,expertise,0.03534061802408853
9,expertise,1.4380668703087522
10,expertise,1.3942316749248564
11,expertise,0.10109341109993215
12,expertise,0.16684620417577567
13,expertise,0.605198158014733
14,expertise,0.035340618024088534
15,expertise,0.758621341858368
16,expertise,0.013423020332140656
17,expertise,0.16684620417577573
18,expertise,0.27643419263551505
19,expertise,0.07917581340798427
0,marginal,0.1092875698930064
1,marginal,0.14211708384728083
2,marginal,0.38111669934855824
3,marginal,0.09565855208448731
4,marginal,0.17098789404002998
5,marginal,0.1092875698930064
6,marginal,0.09841440471478434
7,marginal,0.3266789609890924
8,marginal,0.09209729787870671
9,marginal,0.8962211420253069
10,marginal,0.8704504099133024
11,marginal,0.11021381260916963
12,marginal,0.16191052302106657
13,marginal,0.3827504261429973
14,marginal,0.09869075981391341
15,marginal,0.4640101083535164
16,marginal,0.05867234838516064
17,marginal,0.16191052302106657
18,marginal,0.21606823470364328
19,marginal,0.12040392183059712
0,repeat_last,0.08357076129715774
1,repeat_last,0.134304335080876
2,repeat_last,0.2907243915395404
3,repeat_last,0.06541690107303899
4,repeat_last,0.16971488882498584
5,repeat_last,0.08357076129715774
6,repeat_last,0.06668317977610877
7,repeat_last,0.3781842923064923
8,repeat_last,0.06378102183157991
9,repeat_last,0.616696205440054
10,repeat_last,0.782570612130113
11,repeat_last,0.108401111163383
12,repeat_last,0.16760016293154725
13,repeat_last,0.3170451651795237
14,repeat_last,0.06681017231773954
15,repeat_last,0.33636218120399886
16,repeat_last,0.04716661974250533
17,repeat_last,0.16760016293154728
18,repeat_last,0.25008303151312394
19,repeat_last,0.10055725369930778
0,win_stay_expertise,0.09267707582227248
1,win_stay_expertise,0.12478075118635765
2,win_stay_expertise,0.3371092209493968
3,win_stay_expertise,0.0785917379219801
4,win_stay_expertise,0.17487050049817535
5,win_stay_expertise,0.09267707582227248
6,win_stay_expertise,0.08058370680491297
7,win_stay_expertise,0.3957583031054903
8,win_stay_expertise,0.06378102183157991
9,win_stay_expertise,0.7632508048238353
10,win_stay_expertise,0.8260903677615323
11,win_stay_expertise,0.108401111163383
12,win_stay_expertise,0.15744320252404406
13,win_stay_expertise,0.3760029206828603
14,win_stay_expertise,0.06681017231773954
15,win_stay_expertise,0.4550886152779906
16,win_stay_expertise,0.04716661974250533
17,win_stay_expertise,0.15744320252404406
18,win_stay_expertise,0.24060651584717105
19,win_stay_expertise,0.09103366980478941
0,history_frequency,0.06458813026642932
1,history_frequency,0.11233321190025773
2,history_frequency,0.2806331893355871
3,history_frequency,0.04662206701119864
4,history_frequency,0.16052015313075424
5,history_frequency,0.06545319796477041
6,history_frequency,0.045827185741695906
7,history_frequency,0.36397364520456166
8,history_frequency,0.046088880906524625
9,history_frequency,0.4719296917147798
10,history_frequency,0.8273849106039233
11,history_frequency,0.09656709974695607
12,history_frequency,0.14746235459591422
13,history_frequency,0.3053526293673402
14,history_frequency,0.04723248516915594
15,history_frequency,0.36008820272197206
16,history_frequency,0.02529194242278557
17,history_frequency,0.14962135078755806
18,history_frequency,0.23612120687584764
19,history_frequency,0.08397476756529794
0,reward_learning,0.08329700460206768
1,reward_learning,0.12410734869452048
2,reward_learning,0.2758424808309782
3,reward_learning,0.058940114982662814
4,reward_learning,0.14663061022980703
5,reward_learning,0.07786446702393324
6,reward_learning,0.06926977166984788
7,reward_learning,0.3366100039257539
8,reward_learning,0.07441910760572737
9,reward_learning,0.7563784982454511
10,reward_learning,0.8543131529965476
11,reward_learning,0.09696645025927215
12,reward_learning,0.15351526255524836
13,reward_learning,0.29387923371386987
14,reward_learning,0.07244250564107463
15,reward_learning,0.3484011167817629
16,reward_learning,0.030729087905942594
17,reward_learning,0.13484002726100147
18,reward_learning,0.2186136905125035
19,reward_learning,0.10285180289254166
0,belief_static,0.07351002852930895
1,belief_static,0.12792500067819385
2,belief_static,0.2991616857346632
3,belief_static,0.07126696362109783
4,belief_static,0.16736689322273718
5,belief_static,0.07687259164925539
6,belief_static,0.06100250621621697
7,belief_static,0.33285684200247956
8,belief_static,0.0735701314308917
9,belief_static,0.6559730888438023
10,belief_static,0.8223996645130887
11,belief_static,0.10561151463664362
12,belief_static,0.1579787307525852
13,belief_static,0.30337963694946934
14,belief_static,0.0835244394543766
15,belief_static,0.37372285440416425
16,belief_static,0.03646297223048356
17,belief_static,0.14418466960466092
18,belief_static,0.23087596557367218
19,belief_static,0.10350861967579816
0,belief_dynamic,0.07896381076747147
1,belief_dynamic,0.12040201292710129
2,belief_dynamic,0.265790503098996
3,belief_dynamic,0.062072719523397504
4,belief_dynamic,0.1532515602380086
5,belief_dynamic,0.08096720435386993
6,belief_dynamic,0.06926658675077743
7,belief_dynamic,0.32616443387384686
8,belief_dynamic,0.06565884565823693
9,belief_dynamic,0.690139868892788
10,belief_dynamic,0.8246193485288973
11,belief_dynamic,0.0990135073404157
12,belief_dynamic,0.15017809375401514
13,belief_dynamic,0.31358365090878654
14,belief_dynamic,0.07479521104222878
15,belief_dynamic,0.3778690883411173
16,belief_dynamic,0.033911140407702045
17,belief_dynamic,0.1362597409695443
18,belief_dynamic,0.21694253374556896
19,belief_dynamic,0.09713900856275579
0,simple_selected,0.06458813026642932
1,simple_selected,0.11233321190025773
2,simple_selected,0.2806331893355871
3,simple_selected,0.04662206701119864
4,simple_selected,0.16052015313075424
5,simple_selected,0.06545319796477041
6,simple_selected,0.045827185741695906
7,simple_selected,0.36397364520456166
8,simple_selected,0.046088880906524625
9,simple_selected,0.7563784982454511
10,simple_selected,0.8543131529965476
11,simple_selected,0.09696645025927215
12,simple_selected,0.14746235459591422
13,simple_selected,0.3053526293673402
14,simple_selected,0.04723248516915594
15,simple_selected,0.36008820272197206
16,simple_selected,0.030729087905942594
17,simple_selected,0.14962135078755806
18,simple_selected,0.23612120687584764
19,simple_selected,0.08397476756529794
0,belief_selected,0.07896381076747147
1,belief_selected,0.12040201292710129
2,belief_selected,0.265790503098996
3,belief_selected,0.062072719523397504
4,belief_selected,0.1532515602380086
5,belief_selected,0.08096720435386993
6,belief_selected,0.06926658675077743
7,belief_selected,0.32616443387384686
8,belief_selected,0.06565884565823693
9,belief_selected,0.690139868892788
10,belief_selected,0.8246193485288973
11,belief_selected,0.0990135073404157
12,belief_selected,0.15017809375401514
13,belief_selected,0.31358365090878654
14,belief_selected,0.07479521104222878
15,belief_selected,0.3778690883411173
16,belief_selected,0.033911140407702045
17,belief_selected,0.1362597409695443
18,belief_selected,0.21694253374556896
19,belief_selected,0.09713900856275579
