family,frame,bin,n_rows,mean_predicted,observed_frequency
simple_selected,fairness,0,3420,0.00762456615283649,0.0
simple_selected,risk,0,3213,0.02374010446643544,0.04046062869592281
simple_selected,risk,1,86,0.1415880312265359,0.38372093023255816
simple_selected,risk,2,50,0.24307168010510094,0.34
simple_selected,risk,3,26,0.3291883089642198,0.6538461538461539
simple_selected,risk,4,16,0.4418769588331348,0.625
simple_selected,risk,5,17,0.5509644662298018,0.5294117647058824
simple_selected,risk,6,8,0.6480413563750288,0.625
simple_selected,risk,7,4,0.7311004179070265,1.0
simple_selected,expertise,2,4,0.2594593451363764,0.0
simple_selected,expertise,3,10,0.3531512353156151,0.5
simple_selected,expertise,4,17,0.4501211158656796,0.4117647058823529
simple_selected,expertise,5,15,0.5583921792678289,0.3333333333333333
simple_selected,expertise,6,26,0.6649392594204293,0.38461538461538464
simple_selected,expertise,7,52,0.751766529697395,0.6730769230769231
simple_selected,expertise,8,100,0.859628958408604,0.66
simple_selected,expertise,9,3196,0.9691089956415766,0.9596370463078848
belief_selected,fairness,0,3420,0.006909338758585531,0.0
belief_selected,risk,0,3123,0.04183463774305754,0.039065001601024656
belief_selected,risk,1,157,0.13293538800376511,0.27388535031847133
belief_selected,risk,2,53,0.24521793428421032,0.4339622641509434
belief_selected,risk,3,30,0.3462865305191956,0.4666666666666667
belief_selected,risk,4,35,0.4517988205478746,0.37142857142857144
belief_selected,risk,5,14,0.5385790950671335,0.5
belief_selected,risk,6,8,0.6430023969255565,0.375
belief_selected,expertise,3,8,0.3501695365593344,0.625
belief_selected,expertise,4,14,0.45451008434475504,0.5
belief_selected,expertise,5,37,0.5442643761504805,0.6216216216216216
belief_selected,expertise,6,28,0.649936294571838,0.5357142857142857
belief_selected,expertise,7,57,0.7507579906944384,0.5964912280701754
belief_selected,expertise,8,222,0.8727979258698367,0.7972972972972973
belief_selected,expertise,9,3054,0.9524926521112481,0.9607072691552063
