subset,metric,direction,mean,sd,median,min,max,n_groups,iqr_outliers,ci_lo,ci_hi
own_history,log_loss,simple_minus_belief,0.0008645489133276699,0.023536669251248386,-0.005625426764301507,-0.027562725873072853,0.06623862935266306,20,1,-0.00846373051744541,0.011854907891821741
own_history,brier,simple_minus_belief,-0.003465461455763077,0.01586541759214561,-0.004227528603319759,-0.04654678408890495,0.043480492288968664,20,5,-0.010185747072354931,0.003724177854834717
own_history,accuracy,simple_minus_belief,0.001973684210526316,0.014888838779725137,0.0,-0.021929824561403508,0.05263157894736842,20,8,-0.003508771929824561,0.00899671052631571
own_history_valid_only,log_loss,simple_minus_belief,0.0008645489133276699,0.023536669251248386,-0.005625426764301507,-0.027562725873072853,0.06623862935266306,20,1,-0.00846373051744541,0.011854907891821741
own_history_valid_only,brier,simple_minus_belief,-0.003465461455763077,0.01586541759214561,-0.004227528603319759,-0.04654678408890495,0.043480492288968664,20,5,-0.010185747072354931,0.003724177854834717
own_history_valid_only,accuracy,simple_minus_belief,0.001973684210526316,0.014888838779725137,0.0,-0.021929824561403508,0.05263157894736842,20,8,-0.003508771929824561,0.00899671052631571
own_round_1,log_loss,simple_minus_belief,0.14645905320138022,0.07514482799548906,0.18280950272442442,0.0,0.18446768578435724,20,4,0.10994264115138994,0.1741975109218521
own_round_1,brier,simple_minus_belief,0.07134672207726755,0.036654970957406795,0.08876019580073692,0.0,0.09120584394546113,20,4,0.05364801064376035,0.0851279267068297
own_round_1,accuracy,simple_minus_belief,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0.0
own_late,log_loss,simple_minus_belief,-0.022491710846691628,0.040756303609946226,-0.028358299082806064,-0.14453573567629166,0.05854664753475303,20,3,-0.04103384799534154,-0.0055473201156419835
own_late,brier,simple_minus_belief,-0.007459066448146448,0.029398669042118613,-0.0057087319924439914,-0.11219068024363317,0.04828959859635666,20,4,-0.02179284939457845,0.003770949257193112
own_late,accuracy,simple_minus_belief,0.005833333333333334,0.0189451346961422,0.0,0.0,0.08333333333333334,20,3,0.0,0.015000000000000003
swap_post,log_loss,simple_minus_belief,-0.01534748896584488,0.06908260366704151,-0.012133768615511305,-0.2183488902051148,0.14794224224711355,20,3,-0.04591052715735616,0.013259865337620469
swap_post,brier,simple_minus_belief,-0.01082587155525914,0.05297307618998881,-0.004120367867011821,-0.1961022667790871,0.09040238984471965,20,5,-0.035963546968936264,0.009602994454394333
swap_post,accuracy,simple_minus_belief,0.01,0.03876756345978152,0.0,-0.03333333333333333,0.16666666666666669,20,5,-0.0025,0.029166666666666667
swap_late,log_loss,simple_minus_belief,-0.018682189590730577,0.07275122625048693,-0.02569771685039434,-0.24767065518253817,0.1333262142759144,20,3,-0.05186675568239283,0.011551718264170813
swap_late,brier,simple_minus_belief,-0.009188242145413689,0.05663856440842383,-0.006386022455821618,-0.2152884803991011,0.09497372911903823,20,3,-0.03628547811346315,0.011748689202686674
swap_late,accuracy,simple_minus_belief,0.011666666666666667,0.0378902693922844,0.0,0.0,0.16666666666666669,20,3,0.0,0.030000000000000006
condition:elicited_full_history,log_loss,simple_minus_belief,0.001974676229451152,0.026739607665170136,-0.0030915646692923765,-0.03791432480482981,0.05963769370067833,20,0,-0.00881698856833404,0.013699075489186602
condition:elicited_full_history,brier,simple_minus_belief,-0.002609676951700746,0.0077217971434574255,-0.004098063212683898,-0.014872354649752395,0.016183943549861902,20,2,-0.005782902890254429,0.0008411252908490334
condition:elicited_full_history,accuracy,simple_minus_belief,0.0008771929824561403,0.010610619628584199,0.0,-0.03508771929824561,0.017543859649122806,20,4,-0.003508771929824561,0.005263157894736842
condition:elicited_swap,log_loss,simple_minus_belief,-0.0002455784027958117,0.03802982845718831,-0.0059007186234651945,-0.09519946493896886,0.10389593594740507,20,2,-0.016353376268561294,0.016791496764407002
condition:elicited_swap,brier,simple_minus_belief,-0.004321245959825409,0.030922052737083105,-0.003216474442108216,-0.10848211142885658,0.07077704102807543,20,4,-0.018633373788974224,0.008312980613533128
condition:elicited_swap,accuracy,simple_minus_belief,0.0030701754385964912,0.023516040551596094,0.0,-0.043859649122807015,0.08771929824561403,20,8,-0.005701754385964912,0.014473684210526316
stable_target:fairness,log_loss,simple_minus_belief,0.00524551562102591,0.046462715361501886,0.0017988262261742082,-0.048829454679320886,0.11782515212951128,20,0,-0.013231114281630929,0.026561319733527006
stable_target:fairness,brier,simple_minus_belief,-0.003875046787886529,0.010022961296636572,-0.0055615329984105445,-0.030026147475276148,0.020265361980524917,20,1,-0.008272995451745079,0.00041952876611062076
stable_target:fairness,accuracy,simple_minus_belief,0.002631578947368421,0.020738655938221374,0.0,-0.05263157894736842,0.05263157894736842,20,3,-0.005263157894736842,0.010592105263156936
stable_target:risk,log_loss,simple_minus_belief,-0.01046830973730306,0.04517699611886891,-0.015515934006943241,-0.0625212706778551,0.10420361638165228,20,2,-0.028064939964399054,0.009780899579459658
stable_target:risk,brier,simple_minus_belief,-0.0071250624845510535,0.011459898949651845,-0.008870497550836996,-0.024594224747830913,0.023735112929688173,20,2,-0.011811625580035066,-0.0020136459229484665
stable_target:risk,accuracy,simple_minus_belief,0.0,0.017075939066396054,0.0,-0.05263157894736842,0.05263157894736842,20,2,-0.007894736842105263,0.007894736842105263
stable_target:expertise,log_loss,simple_minus_belief,0.011146822804630608,0.028131766644699983,0.004736995142765324,-0.02780152445993899,0.08019580425243222,20,5,0.0001318299788529183,0.02435053170150941
stable_target:expertise,brier,simple_minus_belief,0.0031710784173353463,0.01102369697508159,0.0003465688547321999,-0.0043561087589964985,0.04604657812648293,20,5,-0.0003956869252608198,0.00887691842576687
stable_target:expertise,accuracy,simple_minus_belief,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0.0
