subset,metric,direction,mean,sd,median,min,max,n_groups,iqr_outliers,ci_lo,ci_hi
own_history,log_loss,simple_minus_belief,-0.003020139510932346,0.014798652475384727,-0.0004839703326089339,-0.04657550334641413,0.015136946800094432,20,1,-0.009714113614775817,0.0027110619498378415
own_history,brier,simple_minus_belief,-0.0018511407277353592,0.010016595353690722,-0.0009736474725225503,-0.02986738565560898,0.011323128306909788,20,1,-0.006297034333464031,0.0021870821445480427
own_history,accuracy,simple_minus_belief,0.01162280701754386,0.022646417648232955,0.008771929824561403,-0.03070175438596491,0.06578947368421052,20,3,0.002187500000000002,0.021710526315789475
own_history_valid_only,log_loss,simple_minus_belief,0.0002467707652282652,0.01908804262927081,0.003067319046320937,-0.05709846766586388,0.03251894808293572,20,3,-0.008518802914437648,0.007841822945488429
own_history_valid_only,brier,simple_minus_belief,-0.0006402170358364278,0.01250883547133056,0.0011731613915916261,-0.03670363804156407,0.01930456435143672,20,2,-0.006324441151523603,0.004365551660308223
own_history_valid_only,accuracy,simple_minus_belief,0.009276026748414623,0.0245769052744156,0.0093466107617051,-0.0350717606630281,0.07048611111111111,20,2,-0.0010448876451838703,0.020021191088998084
own_round_1,log_loss,simple_minus_belief,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0.0
own_round_1,brier,simple_minus_belief,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0.0
own_round_1,accuracy,simple_minus_belief,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0.0
own_late,log_loss,simple_minus_belief,-0.009814096694494248,0.03658081825616633,-0.006920371288157396,-0.09266574328179142,0.06301456410108998,20,1,-0.025032619681971048,0.005214784182141559
own_late,brier,simple_minus_belief,-0.006378045890813598,0.022190061929455336,-0.0051504325094495875,-0.05271782842670435,0.027662156425098033,20,0,-0.01573747550158956,0.0028616995275700693
own_late,accuracy,simple_minus_belief,0.017499999999999998,0.04375469899577103,0.016666666666666666,-0.06666666666666667,0.11666666666666667,20,3,-0.0008333333333333332,0.036666666666666674
swap_post,log_loss,simple_minus_belief,-0.002823597435174665,0.023903086234409423,-0.002822544558663323,-0.06567123664651053,0.043508360947386915,20,3,-0.013348477128856612,0.00694414417594341
swap_post,brier,simple_minus_belief,-0.0007381005277090747,0.015294522172977934,0.00044000813963612014,-0.04938082903078821,0.02453890002445152,20,1,-0.007807180162868541,0.0051588278367548585
swap_post,accuracy,simple_minus_belief,0.008333333333333333,0.02936959481190037,0.008333333333333333,-0.05,0.06666666666666667,20,4,-0.0041666666666666675,0.021666666666666664
swap_late,log_loss,simple_minus_belief,-0.00330676302048099,0.04359497887161358,-0.0055151054910900265,-0.09561606406393244,0.10749923789986454,20,1,-0.02144486457562791,0.015483950864663611
swap_late,brier,simple_minus_belief,-0.001242825428318502,0.024354618918241144,0.0038372886708184185,-0.07633731452543743,0.04363310328118436,20,2,-0.012437761501531044,0.0084966725768789
swap_late,accuracy,simple_minus_belief,0.008333333333333333,0.040284078958614154,0.0,-0.03333333333333333,0.1,20,0,-0.008333333333333331,0.026666666666666665
condition:full_history,log_loss,simple_minus_belief,-0.007878971158144671,0.029043343964860992,-0.0012532224923742204,-0.10472704907133201,0.026677884962705872,20,1,-0.021449409461153847,0.0031236682480198143
condition:full_history,brier,simple_minus_belief,-0.005797071020980907,0.01933238564724176,-0.003850927228996083,-0.06956487736177938,0.014397070285627492,20,1,-0.014728176498679586,0.0016412147629734425
condition:full_history,accuracy,simple_minus_belief,0.017543859649122806,0.032697933905126084,0.017543859649122806,-0.03508771929824561,0.08771929824561403,20,0,0.003508771929824561,0.03245614035087719
condition:no_history,log_loss,simple_minus_belief,1.1686558153949016e-18,3.597046702900779e-18,0.0,0.0,1.1686558153949016e-17,20,2,0.0,2.921639538487254e-18
condition:no_history,brier,simple_minus_belief,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0.0
condition:no_history,accuracy,simple_minus_belief,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0.0
condition:random_target,log_loss,simple_minus_belief,-0.004058532056420724,0.024909581117054384,0.0018678068932760647,-0.07358006142295535,0.03198627267916807,20,1,-0.015337173768842324,0.006142526078470968
condition:random_target,brier,simple_minus_belief,-0.00106342383440548,0.017333187146567043,0.0026973800340154975,-0.048432652900924425,0.023405730250474627,20,1,-0.009026206948015683,0.005894386550324666
condition:random_target,accuracy,simple_minus_belief,0.005263157894736842,0.03122817392369706,0.0,-0.03508771929824561,0.08771929824561403,20,1,-0.007017543859649122,0.019298245614035085
condition:shuffled_history,log_loss,simple_minus_belief,-0.008625703628511446,0.03333881482628257,-0.0007538598872221967,-0.12227226544537355,0.02934855013006591,20,2,-0.02430258807172789,0.0040880782172965004
condition:shuffled_history,brier,simple_minus_belief,-0.0047390006909964946,0.02125412374932269,-0.00039498499165256044,-0.07726912918699522,0.017421518513404333,20,2,-0.014706878420921846,0.0032705687319686287
condition:shuffled_history,accuracy,simple_minus_belief,0.014912280701754385,0.037008812473208745,0.008771929824561403,-0.05263157894736842,0.08771929824561403,20,0,-0.0008771929824561403,0.030701754385964907
condition:swap,log_loss,simple_minus_belief,0.001838692136279975,0.013753384622250694,0.0010237235690874033,-0.020221493378488192,0.025711900425796498,20,0,-0.003928160306524896,0.007844459403530525
condition:swap,brier,simple_minus_belief,0.0020947895655101896,0.008441835164453753,0.001012941935906802,-0.015408059889546378,0.016365485169552732,20,0,-0.0014967667155448155,0.005695871541262613
condition:swap,accuracy,simple_minus_belief,0.005701754385964912,0.02469213985431966,0.0,-0.02631578947368421,0.07017543859649122,20,3,-0.0043859649122807015,0.017105263157894735
stable_target:fairness,log_loss,simple_minus_belief,-0.004459816503980982,0.05839766704626165,0.014947445557730999,-0.1953934517361314,0.061402845001882235,20,1,-0.03193454955168375,0.018166606211874693
stable_target:fairness,brier,simple_minus_belief,-0.003060167812500599,0.03573598518953865,0.0022526946648199434,-0.12051772895607185,0.046319771234773106,20,1,-0.019611694906515265,0.010618312103104018
stable_target:fairness,accuracy,simple_minus_belief,0.02631578947368421,0.043535273256237426,0.02631578947368421,-0.05263157894736842,0.10526315789473684,20,0,0.007894736842105263,0.04473684210526315
stable_target:risk,log_loss,simple_minus_belief,-0.014664805317272761,0.03617712190984726,-0.011817171231510867,-0.09005004335658538,0.053489656732198985,20,1,-0.030702772420258526,0.0006880922307987504
stable_target:risk,brier,simple_minus_belief,-0.010756621633929398,0.019858765751607513,-0.009647854489820952,-0.059197354951526865,0.01956427996080025,20,1,-0.0197167550950257,-0.0025731870175234603
stable_target:risk,accuracy,simple_minus_belief,0.021052631578947368,0.06479863276327288,0.0,-0.10526315789473684,0.15789473684210525,20,3,-0.00532894736842103,0.05
stable_target:expertise,log_loss,simple_minus_belief,-0.004512291653180263,0.02975629400417461,0.0027908799067898797,-0.10551296143259428,0.02695178171675125,20,2,-0.01852598207165103,0.006632834301421213
stable_target:expertise,brier,simple_minus_belief,-0.0035744236165127286,0.01906100124702095,0.0019827379429714197,-0.06910039131362261,0.019935472620316995,20,1,-0.012304292033752185,0.0035931450773347305
stable_target:expertise,accuracy,simple_minus_belief,0.005263157894736842,0.04485482243298896,0.0,-0.05263157894736842,0.15789473684210525,20,6,-0.013157894736842105,0.02631578947368421
swap_post:fairness_to_risk,log_loss,simple_minus_belief,0.004198849654954267,0.037168672801973134,0.007160024226306523,-0.0673865361937005,0.0928056176251455,20,1,-0.01135881641630713,0.02027471495306518
swap_post:fairness_to_risk,brier,simple_minus_belief,-0.0006789345563483875,0.021033725371847223,0.0014776204146338904,-0.042944288122669386,0.04563760881417102,20,0,-0.009676699790626365,0.008256480621073781
swap_post:fairness_to_risk,accuracy,simple_minus_belief,0.02,0.08944271909999159,0.0,-0.1,0.30000000000000004,20,5,-0.015000000000000003,0.06000000000000001
swap_late:fairness_to_risk,log_loss,simple_minus_belief,0.013481101560650716,0.0630826662761868,0.00490136751815138,-0.062432914454795575,0.20655173417342093,20,1,-0.011130047014680712,0.04220803452022291
swap_late:fairness_to_risk,brier,simple_minus_belief,0.004398535895429828,0.03697722696757569,-0.004657980431443355,-0.032957256070411604,0.12234938934795964,20,1,-0.009998310738494179,0.02126280820622313
swap_late:fairness_to_risk,accuracy,simple_minus_belief,0.020000000000000004,0.1281446551034375,0.0,-0.2,0.4,20,5,-0.030000000000000006,0.08
swap_post:fairness_to_expertise,log_loss,simple_minus_belief,-0.008153317560972406,0.046956630130929225,0.003691029444368981,-0.12513190094402843,0.05474661094871354,20,0,-0.02802276542406944,0.010815395003026137
swap_post:fairness_to_expertise,brier,simple_minus_belief,-7.641460491775165e-05,0.02526237572381206,0.004524533517623565,-0.045875582117844135,0.03500613111469236,20,0,-0.01075495849691382,0.010497664270770885
swap_post:fairness_to_expertise,accuracy,simple_minus_belief,0.015000000000000003,0.0670820393249937,0.0,-0.1,0.2,20,6,-0.010000000000000002,0.045
swap_late:fairness_to_expertise,log_loss,simple_minus_belief,0.0009204392995016859,0.07912517321211184,0.0011376395705489661,-0.17217773384291102,0.1316575882117763,20,1,-0.03280173957969917,0.0338050479715139
swap_late:fairness_to_expertise,brier,simple_minus_belief,0.006660410589862787,0.043060068383243805,0.0006881363145150964,-0.06487225946344313,0.09275264168755817,20,0,-0.011444531359399098,0.02513607922165805
swap_late:fairness_to_expertise,accuracy,simple_minus_belief,0.02,0.11050125029061651,0.0,-0.2,0.4,20,3,-0.02,0.07
swap_post:risk_to_fairness,log_loss,simple_minus_belief,0.021835149634516975,0.06504284173107219,0.026606415541299458,-0.06441968139143016,0.20227868234362933,20,1,-0.004852455304087895,0.050194182857733784
swap_post:risk_to_fairness,brier,simple_minus_belief,0.017249477584695794,0.03444319437732866,0.02019477468039087,-0.04361810348856225,0.08312864232061892,20,0,0.002009426441163408,0.0315592195260206
swap_post:risk_to_fairness,accuracy,simple_minus_belief,-0.01,0.0447213595499958,0.0,-0.1,0.1,20,4,-0.03,0.01
swap_late:risk_to_fairness,log_loss,simple_minus_belief,0.04068749463697177,0.12255275073346107,0.016166128767432328,-0.16055306415283016,0.4054153524265441,20,1,-0.009188632954383973,0.09565397382434453
swap_late:risk_to_fairness,brier,simple_minus_belief,0.027158012919339336,0.06114611053442839,0.014532509512468848,-0.08844214660818428,0.1448077780914937,20,0,0.0009107439753594893,0.05347029020774721
swap_late:risk_to_fairness,accuracy,simple_minus_belief,-0.01,0.07880689256524123,0.0,-0.2,0.2,20,3,-0.05,0.02
swap_post:risk_to_expertise,log_loss,simple_minus_belief,-0.006847641785301194,0.0762754801035629,0.010973717810212941,-0.22322458672548026,0.094315502075366,20,1,-0.04418962993248735,0.02370550236023291
