family,frame,bin,n_rows,mean_predicted,observed_frequency
simple_selected,fairness,0,3345,0.010975374191341964,0.007772795216741405
simple_selected,fairness,1,14,0.12114046876536445,0.7142857142857143
simple_selected,fairness,2,6,0.23727884389184106,0.6666666666666666
simple_selected,fairness,3,6,0.36235286142286505,0.5
simple_selected,fairness,4,7,0.4455829868388873,0.8571428571428571
simple_selected,fairness,5,12,0.5458267881520684,0.8333333333333334
simple_selected,fairness,6,5,0.641811293005422,0.6
simple_selected,fairness,7,16,0.7307658086322415,0.125
simple_selected,fairness,8,5,0.84661657504587,1.0
simple_selected,fairness,9,4,0.9517968559617047,1.0
simple_selected,risk,0,3133,0.015833201046869156,0.02138525375039898
simple_selected,risk,1,41,0.13392898149440702,0.12195121951219512
simple_selected,risk,2,19,0.2432861059057077,0.21052631578947367
simple_selected,risk,3,9,0.34235547766212804,0.4444444444444444
simple_selected,risk,4,15,0.4411141095891197,0.3333333333333333
simple_selected,risk,5,16,0.5607880821136124,0.8125
simple_selected,risk,6,18,0.6465315116322363,0.7222222222222222
simple_selected,risk,7,30,0.7486281442122954,0.6666666666666666
simple_selected,risk,8,60,0.8606287010036461,0.55
simple_selected,risk,9,79,0.9379099367836766,0.8734177215189873
simple_selected,expertise,0,103,0.05751289686434994,0.1941747572815534
simple_selected,expertise,1,54,0.1405456536328492,0.37037037037037035
simple_selected,expertise,2,44,0.2408585175055219,0.4090909090909091
simple_selected,expertise,3,35,0.35703621395132945,0.2
simple_selected,expertise,4,18,0.44148142452186523,0.1111111111111111
simple_selected,expertise,5,25,0.5579987154379186,0.52
simple_selected,expertise,6,15,0.6580325221170676,0.4
simple_selected,expertise,7,15,0.7424979934520419,0.5333333333333333
simple_selected,expertise,8,54,0.8522973980271175,0.8518518518518519
simple_selected,expertise,9,3057,0.975344640428376,0.9728491985606804
belief_selected,fairness,0,3331,0.009591753012725687,0.00720504353047133
belief_selected,fairness,1,20,0.12733211333392785,0.2
belief_selected,fairness,2,12,0.27203669114013035,0.16666666666666666
belief_selected,fairness,3,6,0.3162138690945879,0.16666666666666666
belief_selected,fairness,4,10,0.4370210156141132,0.9
belief_selected,fairness,5,7,0.5832862173060082,0.2857142857142857
belief_selected,fairness,6,7,0.6341290413934855,0.5714285714285714
belief_selected,fairness,7,14,0.7678970136269181,1.0
belief_selected,fairness,8,13,0.8244681211383595,1.0
belief_selected,risk,0,3175,0.014578572129597359,0.02236220472440945
belief_selected,risk,1,11,0.12699065450882283,0.0
belief_selected,risk,2,6,0.24259043969598926,0.0
belief_selected,risk,3,7,0.3436606738167413,0.0
belief_selected,risk,4,10,0.44754408037382304,0.1
belief_selected,risk,5,18,0.548281221432382,0.8333333333333334
belief_selected,risk,6,20,0.6597647570406516,0.3
belief_selected,risk,7,29,0.7434926063529462,0.4482758620689655
belief_selected,risk,8,45,0.8646286849796486,0.7111111111111111
belief_selected,risk,9,99,0.9329933541668106,0.9595959595959596
belief_selected,expertise,0,108,0.06177646480133033,0.05555555555555555
belief_selected,expertise,1,61,0.1451396502696541,0.21311475409836064
belief_selected,expertise,2,49,0.2503510949324927,0.40816326530612246
belief_selected,expertise,3,36,0.34771785472116645,0.3055555555555556
belief_selected,expertise,4,9,0.44816792937286565,0.4444444444444444
belief_selected,expertise,5,13,0.5356708486021527,0.46153846153846156
belief_selected,expertise,6,21,0.6421090121418171,1.0
belief_selected,expertise,7,7,0.7518448502122583,0.42857142857142855
belief_selected,expertise,8,3,0.845799583624261,1.0
belief_selected,expertise,9,3113,0.9770214388370617,0.9723739158368133
