subset,metric,direction,mean,sd,median,min,max,n_groups,iqr_outliers,ci_lo,ci_hi
own_history,log_loss,simple_minus_belief,0.02667920531317286,0.048610312901043076,0.009696162905069286,-0.01804520276710943,0.16608166576261085,20,2,0.008164948219341906,0.049658751382616745
own_history,brier,simple_minus_belief,0.017378072464744154,0.03507125845155723,0.0015403354353729303,-0.02172930608098818,0.11398403354814099,20,4,0.004018506478044463,0.03376207651475888
own_history,accuracy,simple_minus_belief,-0.01206140350877193,0.03168760801622654,0.0,-0.10087719298245613,0.02631578947368421,20,7,-0.02675438596491228,0.0
own_history_valid_only,log_loss,simple_minus_belief,0.02667920531317286,0.048610312901043076,0.009696162905069286,-0.01804520276710943,0.16608166576261085,20,2,0.008164948219341906,0.049658751382616745
own_history_valid_only,brier,simple_minus_belief,0.017378072464744154,0.03507125845155723,0.0015403354353729303,-0.02172930608098818,0.11398403354814099,20,4,0.004018506478044463,0.03376207651475888
own_history_valid_only,accuracy,simple_minus_belief,-0.01206140350877193,0.03168760801622654,0.0,-0.10087719298245613,0.02631578947368421,20,7,-0.02675438596491228,0.0
own_round_1,log_loss,simple_minus_belief,0.04114297561672574,0.2713165033611999,0.0,-0.9831312373558998,0.25896349396590485,20,1,-0.08306649751545472,0.14183897222504221
own_round_1,brier,simple_minus_belief,0.019007561244304173,0.14250312527895845,0.0,-0.5252803240720092,0.13104246650330004,20,1,-0.04682247975597688,0.0710845468630644
own_round_1,accuracy,simple_minus_belief,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0.0
own_late,log_loss,simple_minus_belief,0.01807541679572462,0.04533884581114586,0.0007414855399921038,-0.03407047377501769,0.16177941123439882,20,1,0.0009949492178553323,0.039790716374748195
own_late,brier,simple_minus_belief,0.00913845136294278,0.024743343936506325,0.0004247857453156528,-0.021787235028522856,0.09445103823635725,20,5,0.0002992666746173788,0.021142412486374548
own_late,accuracy,simple_minus_belief,-0.003333333333333334,0.01159753956564099,0.0,-0.03333333333333333,0.016666666666666666,20,4,-0.009166666666666667,0.0008333333333333333
swap_post,log_loss,simple_minus_belief,0.01443591912104302,0.046702557379742014,0.002764224456516916,-0.043306328554477656,0.15624726745974377,20,3,-0.002628190306792964,0.03692398872172764
swap_post,brier,simple_minus_belief,0.00786394111522719,0.02768738897297009,0.0006615935656690745,-0.02991351635134955,0.09884038109127087,20,5,-0.0021599085651012396,0.02111051433782367
swap_post,accuracy,simple_minus_belief,-0.006666666666666668,0.028304939332972876,0.0,-0.1,0.03333333333333333,20,5,-0.020833333333333332,0.003333333333333334
swap_late,log_loss,simple_minus_belief,0.022165943592906988,0.056298779749059294,0.0016808042728002114,-0.04607896249114613,0.17664576033159368,20,2,0.0006588632637688508,0.049337684921153084
swap_late,brier,simple_minus_belief,0.009653288074381879,0.027070779725347806,0.0005634663016546188,-0.028068751792485937,0.09414496465797685,20,4,-0.0005750390245678196,0.022456519553374268
swap_late,accuracy,simple_minus_belief,-0.006666666666666668,0.02319507913128198,0.0,-0.06666666666666667,0.03333333333333333,20,4,-0.018333333333333333,0.0016666666666666666
condition:full_history,log_loss,simple_minus_belief,0.029642535018349896,0.06185857226640188,0.00677924699039056,-0.032525045666757915,0.2002408673627278,20,4,0.006205505691792963,0.058301782397616075
condition:full_history,brier,simple_minus_belief,0.020302365639168988,0.0464893444891993,0.001765569932327747,-0.02844949242076885,0.14376626872783338,20,6,0.0027830924878985393,0.041501555207294094
condition:full_history,accuracy,simple_minus_belief,-0.015789473684210527,0.04405312819067492,0.0,-0.14035087719298245,0.03508771929824561,20,6,-0.036842105263157884,0.0008771929824561403
condition:no_history,log_loss,simple_minus_belief,-0.01940701550153367,0.08900628246535684,0.0,-0.26437474537837297,0.12821668014255697,20,8,-0.06291524801976613,0.013908673371892482
condition:no_history,brier,simple_minus_belief,-0.0019648405076036733,0.037478383207581095,0.0,-0.10179213916047121,0.058416959046159955,20,8,-0.019474315904002018,0.01292944591079856
condition:no_history,accuracy,simple_minus_belief,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0.0
condition:random_target,log_loss,simple_minus_belief,0.016956982904438644,0.04753003489495799,0.006774796515047563,-0.04285091700693437,0.18603759557017147,20,4,-8.293992425854722e-05,0.040399082818260365
condition:random_target,brier,simple_minus_belief,0.010452765335260489,0.035636246534704555,0.0010934203395008982,-0.027304704689360415,0.1457406140858346,20,5,-0.0015882958157185762,0.02839544832410792
condition:random_target,accuracy,simple_minus_belief,-0.007894736842105263,0.03484449401762331,0.0,-0.14035087719298245,0.03508771929824561,20,5,-0.025438596491228073,0.003508771929824561
condition:shuffled_history,log_loss,simple_minus_belief,0.029642535018349896,0.06185857226640188,0.006779246990390559,-0.03252504566675792,0.20024086736272778,20,4,0.006205505691792962,0.058301782397616075
condition:shuffled_history,brier,simple_minus_belief,0.020302365639168988,0.0464893444891993,0.0017655699323277472,-0.02844949242076885,0.14376626872783338,20,6,0.0027830924878985384,0.041501555207294094
condition:shuffled_history,accuracy,simple_minus_belief,-0.015789473684210527,0.04405312819067492,0.0,-0.14035087719298245,0.03508771929824561,20,6,-0.036842105263157884,0.0008771929824561403
condition:swap,log_loss,simple_minus_belief,0.023715875607995818,0.04369315290490598,0.0050660648023995464,-0.014756640532071848,0.13192246416249387,20,4,0.007012227597395249,0.043538123440125504
condition:swap,brier,simple_minus_belief,0.014453779290319324,0.030559542433958614,0.0013375132724384035,-0.015009119741207513,0.08420179836844859,20,5,0.0030069104110803514,0.028436698647344934
condition:swap,accuracy,simple_minus_belief,-0.008333333333333333,0.02521151873266342,0.0,-0.07894736842105263,0.017543859649122806,20,5,-0.019736842105263157,0.0008771929824561403
stable_target:fairness,log_loss,simple_minus_belief,0.01061279754668355,0.04655408881973572,-0.0008967583533336684,-0.0974368314666039,0.13901308805856308,20,3,-0.008265419530828337,0.031900184009328855
stable_target:fairness,brier,simple_minus_belief,0.0036427652799866186,0.03279151213634209,1.6101582102532355e-05,-0.05729086991884473,0.12012891332319253,20,8,-0.008567853822415126,0.01937744855812183
