episode_index,family,log_loss
0,uniform,1.09861228866811
1,uniform,1.09861228866811
2,uniform,1.09861228866811
3,uniform,1.09861228866811
4,uniform,1.09861228866811
5,uniform,1.09861228866811
6,uniform,1.09861228866811
7,uniform,1.09861228866811
8,uniform,1.09861228866811
9,uniform,1.09861228866811
10,uniform,1.09861228866811
11,uniform,1.09861228866811
12,uniform,1.09861228866811
13,uniform,1.09861228866811
14,uniform,1.09861228866811
15,uniform,1.09861228866811
16,uniform,1.09861228866811
17,uniform,1.09861228866811
18,uniform,1.09861228866811
19,uniform,1.09861228866811
0,expertise,2.0517596056832934
1,expertise,1.8325836287638144
2,expertise,2.249017984910824
3,expertise,1.131220502621482
4,expertise,2.139429996451084
5,expertise,0.6928685487825244
6,expertise,1.9640892149155014
7,expertise,1.1750556980053775
8,expertise,1.6572428472282312
9,expertise,0.5394453649388893
10,expertise,1.898336421839658
11,expertise,0.49561016955499376
12,expertise,1.5038196633845962
13,expertise,1.2846436864651176
14,expertise,1.0216325141617428
15,expertise,2.7092875364417286
16,expertise,0.5832805603227851
17,expertise,1.547654858768492
18,expertise,1.942171617223554
19,expertise,1.262726088773169
0,marginal,0.8720501008513986
1,marginal,0.9469901975258661
2,marginal,0.985907905722311
3,marginal,0.6452869295546199
4,marginal,1.1550506819894633
5,marginal,0.5213946091286555
6,marginal,0.9607200320992643
7,marginal,0.6588808890420585
8,marginal,1.054090311728563
9,marginal,0.5321190349209138
10,marginal,0.853274349958357
11,marginal,0.5189530347762177
12,marginal,0.7652371665643909
13,marginal,0.6670137020694249
14,marginal,0.6529441418364341
15,marginal,1.0354085009662302
16,marginal,0.5287153799326323
17,marginal,0.7432372815605304
18,marginal,0.9913870405100964
19,marginal,0.7198349060346783
0,repeat_last,0.5612245916999287
1,repeat_last,0.6777189778706356
2,repeat_last,0.6495807316722529
3,repeat_last,0.47107281780383636
4,repeat_last,0.8062399095673383
5,repeat_last,0.4083965090554229
6,repeat_last,0.7973949499678602
7,repeat_last,0.596260561265795
8,repeat_last,0.7666677124446464
9,repeat_last,0.4039644577721768
10,repeat_last,0.8075776862705013
11,repeat_last,0.43273566931255847
12,repeat_last,0.5425279797838377
13,repeat_last,0.4557671939517228
14,repeat_last,0.6133738492431733
15,repeat_last,0.7457542687554571
16,repeat_last,0.4284936506142386
17,repeat_last,0.5319896243737227
18,repeat_last,0.7390911414214067
19,repeat_last,0.49725420106778573
0,win_stay_expertise,0.7339954871664227
1,win_stay_expertise,0.6855618715569124
2,win_stay_expertise,0.7466095556043151
3,win_stay_expertise,0.54825870754306
4,win_stay_expertise,0.9248905115958364
5,win_stay_expertise,0.44603673928799636
6,win_stay_expertise,0.9050063813034241
7,win_stay_expertise,0.6218398207188031
8,win_stay_expertise,0.8503435361448481
9,win_stay_expertise,0.38659542587847756
10,win_stay_expertise,0.8002276917351913
11,win_stay_expertise,0.4077844289210914
12,win_stay_expertise,0.548951025242947
13,win_stay_expertise,0.49218492802949754
14,win_stay_expertise,0.5925418852445803
15,win_stay_expertise,1.0169894066571599
16,win_stay_expertise,0.41030795266106046
17,win_stay_expertise,0.5904604698055614
18,win_stay_expertise,0.9134738486513359
19,win_stay_expertise,0.5315382098039405
0,history_frequency,0.5642149449597857
1,history_frequency,0.60687007203136
2,history_frequency,0.6189473392833694
3,history_frequency,0.48639817178359307
4,history_frequency,0.688097708777454
5,history_frequency,0.41829168155300966
6,history_frequency,0.7480485118137146
7,history_frequency,0.574444615301536
8,history_frequency,0.6762908505014913
9,history_frequency,0.4027355384599617
10,history_frequency,0.7530265958351563
11,history_frequency,0.40172486271265967
12,history_frequency,0.4549612209249794
13,history_frequency,0.41933445134712055
14,history_frequency,0.5816198896421692
15,history_frequency,0.7009914827050652
16,history_frequency,0.4114800859365475
17,history_frequency,0.49533547646254916
18,history_frequency,0.7066963317809183
19,history_frequency,0.5159926309223022
0,reward_learning,0.4490149762889255
1,reward_learning,0.5155122007769091
2,reward_learning,0.5446674425477571
3,reward_learning,0.3852204897548488
4,reward_learning,0.6748316554656176
5,reward_learning,0.37796494800862107
6,reward_learning,0.6391996164750869
7,reward_learning,0.5081192215935686
8,reward_learning,0.7139289383184624
9,reward_learning,0.4105917857748188
10,reward_learning,0.6105512428218616
11,reward_learning,0.3834191102527116
12,reward_learning,0.40842385781208956
13,reward_learning,0.3639922388319503
14,reward_learning,0.4989809842784316
15,reward_learning,0.6159606719115946
16,reward_learning,0.35045569548912003
17,reward_learning,0.41776470500641405
18,reward_learning,0.6769193975612551
19,reward_learning,0.39997983752937655
0,belief_static,0.49217700070908466
1,belief_static,0.47943425639767756
2,belief_static,0.5706653727985769
3,belief_static,0.39615560910432385
4,belief_static,0.7349129334763363
5,belief_static,0.4213922775413157
6,belief_static,0.631964796646339
7,belief_static,0.5531959025972288
8,belief_static,0.6627620374791254
9,belief_static,0.4399609562675727
10,belief_static,0.6363369324325263
11,belief_static,0.4024664231963361
12,belief_static,0.4322990286117544
13,belief_static,0.4026099885290001
14,belief_static,0.5212511921640373
15,belief_static,0.6595859392941853
16,belief_static,0.36537813308457234
17,belief_static,0.41511500818524893
18,belief_static,0.6675300421089702
19,belief_static,0.43686079647348103
0,belief_dynamic,0.49066135396274846
1,belief_dynamic,0.5117037549517289
2,belief_dynamic,0.5494405818997349
3,belief_dynamic,0.3895228370841637
4,belief_dynamic,0.7226916042184848
5,belief_dynamic,0.39200964290321455
6,belief_dynamic,0.639282309268725
7,belief_dynamic,0.5306567881610822
8,belief_dynamic,0.6984205785931158
9,belief_dynamic,0.40308105121864723
10,belief_dynamic,0.6319169214901585
11,belief_dynamic,0.384276214689612
12,belief_dynamic,0.4435861755866438
13,belief_dynamic,0.374539041320919
14,belief_dynamic,0.5101352822791049
15,belief_dynamic,0.6860754634585247
16,belief_dynamic,0.3594578059866628
17,belief_dynamic,0.4314947066643531
18,belief_dynamic,0.6892567069624376
19,belief_dynamic,0.41753282492577437
0,simple_selected,0.4490149762889255
1,simple_selected,0.5155122007769091
2,simple_selected,0.5446674425477571
3,simple_selected,0.3852204897548488
4,simple_selected,0.6748316554656176
5,simple_selected,0.37796494800862107
6,simple_selected,0.6391996164750869
7,simple_selected,0.5081192215935686
8,simple_selected,0.7139289383184624
9,simple_selected,0.4105917857748188
10,simple_selected,0.6105512428218616
11,simple_selected,0.3834191102527116
12,simple_selected,0.40842385781208956
13,simple_selected,0.3639922388319503
14,simple_selected,0.4989809842784316
15,simple_selected,0.6159606719115946
16,simple_selected,0.35045569548912003
17,simple_selected,0.41776470500641405
18,simple_selected,0.6769193975612551
19,simple_selected,0.39997983752937655
0,belief_selected,0.49066135396274846
1,belief_selected,0.5117037549517289
2,belief_selected,0.5494405818997349
3,belief_selected,0.3895228370841637
4,belief_selected,0.7226916042184848
5,belief_selected,0.39200964290321455
6,belief_selected,0.639282309268725
7,belief_selected,0.5306567881610822
8,belief_selected,0.6984205785931158
9,belief_selected,0.40308105121864723
10,belief_selected,0.6319169214901585
11,belief_selected,0.384276214689612
12,belief_selected,0.4435861755866438
13,belief_selected,0.374539041320919
14,belief_selected,0.5101352822791049
15,belief_selected,0.6860754634585247
16,belief_selected,0.3594578059866628
17,belief_selected,0.4314947066643531
18,belief_selected,0.6892567069624376
19,belief_selected,0.41753282492577437
