subset,metric,direction,mean,sd,median,min,max,n_groups,iqr_outliers,ci_lo,ci_hi
own_history,log_loss,simple_minus_belief,-0.015512131456320782,0.02032060302776485,-0.011745803700927869,-0.0701147915469302,0.015508359725346622,20,1,-0.02489582373246821,-0.007550567587707695
own_history,brier,simple_minus_belief,-0.012151218102690457,0.014789889678005222,-0.008885064480333209,-0.0614630312111305,0.005546506590354168,20,2,-0.019370300155261998,-0.0067104805782096525
own_history,accuracy,simple_minus_belief,0.010087719298245614,0.02452757860839217,0.006578947368421052,-0.017543859649122806,0.10087719298245613,20,2,0.0015350877192982456,0.02214912280701754
own_history_valid_only,log_loss,simple_minus_belief,-0.015111555931970519,0.02101441287372711,-0.012267668153638146,-0.06978824436531783,0.02399508908589241,20,4,-0.02490443400621569,-0.006657059236718017
own_history_valid_only,brier,simple_minus_belief,-0.012502582902625573,0.014999758238646858,-0.009047951914914323,-0.0614048728945264,0.009701019444004172,20,2,-0.01974848098540039,-0.006866023228569685
own_history_valid_only,accuracy,simple_minus_belief,0.010663863049522548,0.02506612507141411,0.0066181077694235585,-0.014273576890399322,0.10727506840495735,20,1,0.002103126281844535,0.022894589490442544
own_round_1,log_loss,simple_minus_belief,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0.0
own_round_1,brier,simple_minus_belief,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0.0
own_round_1,accuracy,simple_minus_belief,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0.0
own_late,log_loss,simple_minus_belief,-0.03010103776809252,0.03807675686564464,-0.025696719669375208,-0.1410014598759188,0.0311189647464839,20,1,-0.047829690040224464,-0.015081729186721498
own_late,brier,simple_minus_belief,-0.021321627668379788,0.029702427469249237,-0.01683926524374011,-0.12354061525327151,0.020599509628925313,20,1,-0.035899177867538004,-0.010301807442125785
own_late,accuracy,simple_minus_belief,0.027499999999999997,0.06171880204861229,0.016666666666666666,-0.03333333333333333,0.23333333333333334,20,2,0.005,0.056666666666666664
swap_post,log_loss,simple_minus_belief,-0.028191253732881887,0.025997164010997595,-0.021813810756081214,-0.07897881668369541,0.010170589331733952,20,0,-0.03935525952435662,-0.01730818619676917
swap_post,brier,simple_minus_belief,-0.018101165994525416,0.018988879233631694,-0.012173147162667534,-0.06814972464482719,0.00470652559638754,20,1,-0.026709388236777067,-0.010690160420157168
swap_post,accuracy,simple_minus_belief,0.011666666666666667,0.03977274625958383,0.0,-0.06666666666666667,0.13333333333333333,20,5,-0.004166666666666667,0.03
swap_late,log_loss,simple_minus_belief,-0.03214205044101674,0.04618005472590946,-0.031114713780489706,-0.12047976216391591,0.057590434110464134,20,0,-0.05163179511820977,-0.012440742571730364
swap_late,brier,simple_minus_belief,-0.02079623927813053,0.0328457076842452,-0.012261462685574882,-0.09081793110748154,0.04094187116952464,20,2,-0.03544180591356344,-0.007605314777889801
swap_late,accuracy,simple_minus_belief,0.015000000000000003,0.06964823897976499,0.0,-0.1,0.2,20,1,-0.013333333333333332,0.04666666666666667
condition:full_history,log_loss,simple_minus_belief,-0.011749502517740705,0.03231328601849112,-0.010082519465569147,-0.08444226622854276,0.052201115108857415,20,4,-0.025866986108235346,0.0015896791812605618
condition:full_history,brier,simple_minus_belief,-0.010918332973985182,0.022148599415270892,-0.0071353455293038225,-0.07119150582822173,0.02721237373232341,20,5,-0.02115063266672398,-0.0021309151566139407
condition:full_history,accuracy,simple_minus_belief,0.014912280701754385,0.0323367573034181,0.017543859649122806,-0.03508771929824561,0.12280701754385964,20,2,0.002631578947368421,0.029824561403508774
condition:no_history,log_loss,simple_minus_belief,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0.0
condition:no_history,brier,simple_minus_belief,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0.0
condition:no_history,accuracy,simple_minus_belief,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0.0
condition:random_target,log_loss,simple_minus_belief,-0.024525556548884782,0.028084527023180962,-0.02009103950127271,-0.10137092648331791,0.006092398451425738,20,2,-0.03775162736439719,-0.013855439430546545
condition:random_target,brier,simple_minus_belief,-0.01871683885896584,0.021314974062527654,-0.012309295153921162,-0.07845543881144508,0.008087932620988711,20,2,-0.028838989799205683,-0.010696730838630803
condition:random_target,accuracy,simple_minus_belief,0.015789473684210527,0.03684430367621968,0.0,-0.07017543859649122,0.10526315789473684,20,2,0.0008771929824561403,0.031578947368421054
condition:shuffled_history,log_loss,simple_minus_belief,-0.012852020758425184,0.030584286208265362,-0.008663693999423443,-0.08444226622854276,0.03299587059563101,20,2,-0.02664913781784586,-0.0003168633076948179
condition:shuffled_history,brier,simple_minus_belief,-0.01158750688034505,0.021318707199256066,-0.006526308773718902,-0.07119150582822174,0.020717863380032547,20,4,-0.02152343977050732,-0.0030893170501052024
condition:shuffled_history,accuracy,simple_minus_belief,0.013157894736842105,0.030586116482090274,0.017543859649122806,-0.017543859649122806,0.12280701754385964,20,1,0.0017543859649122805,0.02807017543859649
condition:swap,log_loss,simple_minus_belief,-0.01927476039490087,0.01597463984354709,-0.016929362966349493,-0.05578731686531768,0.005320919804132513,20,0,-0.0265066519712817,-0.012742107813983147
condition:swap,brier,simple_minus_belief,-0.01338410323139573,0.012828464091597432,-0.01036453215150706,-0.05173455659403928,0.002722331432691274,20,2,-0.01942140420006618,-0.008490870101619266
condition:swap,accuracy,simple_minus_belief,0.005263157894736842,0.023537557657892522,0.0,-0.043859649122807015,0.07894736842105263,20,3,-0.003947368421052632,0.0162280701754386
stable_target:fairness,log_loss,simple_minus_belief,-0.010946590361217885,0.06747567339239594,-0.0002319132481100588,-0.2601680999239552,0.08630269011750712,20,2,-0.044712325838175256,0.013113946710159544
stable_target:fairness,brier,simple_minus_belief,-0.0119873076936526,0.053108689083317694,-0.0004746952988548863,-0.2153768349714417,0.05244247673731969,20,1,-0.038833988614711344,0.006200392143431971
stable_target:fairness,accuracy,simple_minus_belief,0.018421052631578946,0.08238145180262384,0.0,-0.10526315789473684,0.3157894736842105,20,8,-0.010526315789473684,0.05789473684210526
stable_target:risk,log_loss,simple_minus_belief,-0.01611510040672405,0.051956609985769044,-0.010554463667380066,-0.17265485800264396,0.08508358598536711,20,2,-0.03977293588112037,0.0048364432021031625
