policy,focus,n_pairs,mean_difference,sd_difference,min_difference,max_difference,modal_choice_difference,fraction_modal_choice_changes
uniform,all,576,0.0,0.0,0.0,0.0,0.0,0.0
uniform,fairness,192,0.0,0.0,0.0,0.0,0.0,0.0
uniform,risk,192,0.0,0.0,0.0,0.0,0.0,0.0
uniform,expertise,192,0.0,0.0,0.0,0.0,0.0,0.0
expertise,all,576,0.0,0.0,0.0,0.0,0.0,0.0
expertise,fairness,192,0.0,0.0,0.0,0.0,0.0,0.0
expertise,risk,192,0.0,0.0,0.0,0.0,0.0,0.0
expertise,expertise,192,0.0,0.0,0.0,0.0,0.0,0.0
repeat_last,all,576,0.0,0.0,0.0,0.0,0.0,0.0
repeat_last,fairness,192,0.0,0.0,0.0,0.0,0.0,0.0
repeat_last,risk,192,0.0,0.0,0.0,0.0,0.0,0.0
repeat_last,expertise,192,0.0,0.0,0.0,0.0,0.0,0.0
win_stay_expertise,all,576,0.0,0.0,0.0,0.0,0.0,0.0
win_stay_expertise,fairness,192,0.0,0.0,0.0,0.0,0.0,0.0
win_stay_expertise,risk,192,0.0,0.0,0.0,0.0,0.0,0.0
win_stay_expertise,expertise,192,0.0,0.0,0.0,0.0,0.0,0.0
history_frequency,all,576,0.0,0.0,0.0,0.0,0.0,0.0
history_frequency,fairness,192,0.0,0.0,0.0,0.0,0.0,0.0
history_frequency,risk,192,0.0,0.0,0.0,0.0,0.0,0.0
history_frequency,expertise,192,0.0,0.0,0.0,0.0,0.0,0.0
reward_learning,all,576,0.0,0.0,0.0,0.0,0.0,0.0
reward_learning,fairness,192,0.0,0.0,0.0,0.0,0.0,0.0
reward_learning,risk,192,0.0,0.0,0.0,0.0,0.0,0.0
reward_learning,expertise,192,0.0,0.0,0.0,0.0,0.0,0.0
belief_static,all,576,6.842520377464073e-18,1.1308551188764603e-16,-4.440892098500626e-16,4.440892098500626e-16,0.0,0.0
belief_static,fairness,192,6.5052130349130266e-18,4.70169864102518e-17,-1.3877787807814457e-16,2.220446049250313e-16,0.0,0.0
belief_static,risk,192,1.3444106938820255e-17,8.801068688356159e-17,-1.942890293094024e-16,2.220446049250313e-16,0.0,0.0
belief_static,expertise,192,5.782411586589357e-19,1.68698133039349e-16,-4.440892098500626e-16,4.440892098500626e-16,0.0,0.0
belief_dynamic,all,576,0.06700222791183186,0.04410762993803529,0.004705969323738197,0.2224369123891125,0.0920138888888889,0.10243055555555555
belief_dynamic,fairness,192,0.03670880353891553,0.03214201315791179,0.004705969323738197,0.16570600859961299,0.0,0.026041666666666668
belief_dynamic,risk,192,0.07757159799116972,0.04362529334894361,0.012539165467070582,0.20772885740890368,0.14583333333333334,0.15104166666666666
belief_dynamic,expertise,192,0.0867262822054103,0.038661059473141086,0.019649365209325365,0.2224369123891125,0.13020833333333334,0.13020833333333334
decay_q:0.02,all,576,0.01161247699619311,0.00738780452389021,0.000943525474511063,0.03716913438343661,0.020833333333333332,0.029513888888888888
decay_q:0.02,fairness,192,0.0057447011977943266,0.004497990374036092,0.000943525474511063,0.024021707585458935,0.0,0.026041666666666668
decay_q:0.02,risk,192,0.013527400325867528,0.006595012772842977,0.002078614911416282,0.030745971563534202,0.03125,0.03125
decay_q:0.02,expertise,192,0.015565329464917477,0.006824978611042097,0.003784494205497202,0.03716913438343661,0.03125,0.03125
decay_q:0.05,all,576,0.022080433840771005,0.014050764644955832,0.0015379979724412726,0.06868123007930954,0.036458333333333336,0.03819444444444445
decay_q:0.05,fairness,192,0.010989434854403526,0.008638569231722274,0.0015379979724412726,0.04685831992799136,0.0,0.005208333333333333
decay_q:0.05,risk,192,0.025647442352787857,0.012465726544662959,0.004091832746933963,0.05658316703935845,0.036458333333333336,0.036458333333333336
decay_q:0.05,expertise,192,0.02960442431512163,0.013075501242322332,0.005698828453845062,0.06868123007930954,0.07291666666666667,0.07291666666666667
decay_q:0.1,all,576,0.02794264711000287,0.01807037298502428,0.0017245848832758218,0.08292646496304773,0.043402777777777776,0.046875
decay_q:0.1,fairness,192,0.013906350695291614,0.011023525698929242,0.0017245848832758218,0.06013657544262724,0.0,0.010416666666666666
decay_q:0.1,risk,192,0.032382980290934,0.01598164089694347,0.0040188161688688995,0.07883076128571759,0.041666666666666664,0.041666666666666664
decay_q:0.1,expertise,192,0.03753861034378299,0.017195054447079652,0.004079873931685185,0.08292646496304773,0.08854166666666667,0.08854166666666667
decay_q:0.2,all,576,0.022398575487604398,0.01556877763444712,-0.0035814468469680394,0.075824205144152,0.041666666666666664,0.04513888888888889
