n_pairs,generating_policy,selected_policy,hits,n_simulations,rate,ci_lo,ci_hi
18,uniform,uniform,994,1000,0.994,0.9869716557675544,0.9972473684290918
18,uniform,expertise,0,1000,0.0,0.0,0.003826898586390522
18,uniform,repeat_last,0,1000,0.0,0.0,0.003826898586390522
18,uniform,win_stay_expertise,0,1000,0.0,0.0,0.003826898586390522
18,uniform,history_frequency,0,1000,0.0,0.0,0.003826898586390522
18,uniform,reward_learning,0,1000,0.0,0.0,0.003826898586390522
18,uniform,belief_static,0,1000,0.0,0.0,0.003826898586390522
18,uniform,belief_dynamic,1,1000,0.001,0.0001765418290572713,0.0056427029601604705
18,uniform,decay_q:0.02,0,1000,0.0,0.0,0.003826898586390522
18,uniform,decay_q:0.05,0,1000,0.0,0.0,0.003826898586390522
18,uniform,decay_q:0.1,0,1000,0.0,0.0,0.003826898586390522
18,uniform,decay_q:0.2,0,1000,0.0,0.0,0.003826898586390522
18,uniform,discounted_evidence:0.8,0,1000,0.0,0.0,0.003826898586390522
18,uniform,discounted_evidence:0.9,1,1000,0.001,0.0001765418290572713,0.0056427029601604705
18,uniform,discounted_evidence:0.95,0,1000,0.0,0.0,0.003826898586390522
18,uniform,recent_window:5,1,1000,0.001,0.0001765418290572713,0.0056427029601604705
18,uniform,recent_window:8,1,1000,0.001,0.0001765418290572713,0.0056427029601604705
18,uniform,unresolved_tie,2,1000,0.002,0.000548632102457155,0.007262958889587807
18,expertise,uniform,0,1000,0.0,0.0,0.003826898586390522
18,expertise,expertise,1000,1000,1.0,0.9961731014136095,1.0
18,expertise,repeat_last,0,1000,0.0,0.0,0.003826898586390522
18,expertise,win_stay_expertise,0,1000,0.0,0.0,0.003826898586390522
18,expertise,history_frequency,0,1000,0.0,0.0,0.003826898586390522
18,expertise,reward_learning,0,1000,0.0,0.0,0.003826898586390522
18,expertise,belief_static,0,1000,0.0,0.0,0.003826898586390522
18,expertise,belief_dynamic,0,1000,0.0,0.0,0.003826898586390522
18,expertise,decay_q:0.02,0,1000,0.0,0.0,0.003826898586390522
18,expertise,decay_q:0.05,0,1000,0.0,0.0,0.003826898586390522
18,expertise,decay_q:0.1,0,1000,0.0,0.0,0.003826898586390522
18,expertise,decay_q:0.2,0,1000,0.0,0.0,0.003826898586390522
18,expertise,discounted_evidence:0.8,0,1000,0.0,0.0,0.003826898586390522
18,expertise,discounted_evidence:0.9,0,1000,0.0,0.0,0.003826898586390522
18,expertise,discounted_evidence:0.95,0,1000,0.0,0.0,0.003826898586390522
18,expertise,recent_window:5,0,1000,0.0,0.0,0.003826898586390522
18,expertise,recent_window:8,0,1000,0.0,0.0,0.003826898586390522
18,expertise,unresolved_tie,0,1000,0.0,0.0,0.003826898586390522
18,repeat_last,uniform,0,1000,0.0,0.0,0.003826898586390522
18,repeat_last,expertise,0,1000,0.0,0.0,0.003826898586390522
18,repeat_last,repeat_last,994,1000,0.994,0.9869716557675544,0.9972473684290918
18,repeat_last,win_stay_expertise,0,1000,0.0,0.0,0.003826898586390522
18,repeat_last,history_frequency,0,1000,0.0,0.0,0.003826898586390522
18,repeat_last,reward_learning,2,1000,0.002,0.000548632102457155,0.007262958889587807
18,repeat_last,belief_static,0,1000,0.0,0.0,0.003826898586390522
18,repeat_last,belief_dynamic,1,1000,0.001,0.0001765418290572713,0.0056427029601604705
18,repeat_last,decay_q:0.02,0,1000,0.0,0.0,0.003826898586390522
18,repeat_last,decay_q:0.05,0,1000,0.0,0.0,0.003826898586390522
18,repeat_last,decay_q:0.1,0,1000,0.0,0.0,0.003826898586390522
18,repeat_last,decay_q:0.2,0,1000,0.0,0.0,0.003826898586390522
18,repeat_last,discounted_evidence:0.8,0,1000,0.0,0.0,0.003826898586390522
18,repeat_last,discounted_evidence:0.9,0,1000,0.0,0.0,0.003826898586390522
18,repeat_last,discounted_evidence:0.95,2,1000,0.002,0.000548632102457155,0.007262958889587807
18,repeat_last,recent_window:5,0,1000,0.0,0.0,0.003826898586390522
18,repeat_last,recent_window:8,0,1000,0.0,0.0,0.003826898586390522
18,repeat_last,unresolved_tie,1,1000,0.001,0.0001765418290572713,0.0056427029601604705
18,win_stay_expertise,uniform,0,1000,0.0,0.0,0.003826898586390522
18,win_stay_expertise,expertise,1,1000,0.001,0.0001765418290572713,0.0056427029601604705
18,win_stay_expertise,repeat_last,0,1000,0.0,0.0,0.003826898586390522
18,win_stay_expertise,win_stay_expertise,992,1000,0.992,0.9842934787948114,0.9959408529961804
18,win_stay_expertise,history_frequency,0,1000,0.0,0.0,0.003826898586390522
18,win_stay_expertise,reward_learning,0,1000,0.0,0.0,0.003826898586390522
18,win_stay_expertise,belief_static,0,1000,0.0,0.0,0.003826898586390522
18,win_stay_expertise,belief_dynamic,0,1000,0.0,0.0,0.003826898586390522
18,win_stay_expertise,decay_q:0.02,0,1000,0.0,0.0,0.003826898586390522
18,win_stay_expertise,decay_q:0.05,0,1000,0.0,0.0,0.003826898586390522
18,win_stay_expertise,decay_q:0.1,0,1000,0.0,0.0,0.003826898586390522
18,win_stay_expertise,decay_q:0.2,2,1000,0.002,0.000548632102457155,0.007262958889587807
18,win_stay_expertise,discounted_evidence:0.8,4,1000,0.004,0.0015565629678934295,0.010239720429805971
18,win_stay_expertise,discounted_evidence:0.9,0,1000,0.0,0.0,0.003826898586390522
18,win_stay_expertise,discounted_evidence:0.95,0,1000,0.0,0.0,0.003826898586390522
