episode_id,round,condition,hidden_target_type,initial_target_type,final_target_type,swap_condition,rounds_since_swap,primary_strategy,probe_pred,probe_p_fairness,probe_p_risk,probe_p_expertise,probe_matches_active,probe_matches_initial,probe_matches_final,behaviour_matches_final,behaviour_matches_initial,probe_p_final,bayes_pred,bayes_p_final,bayes_matches_final
full_history-000-expertise,1,full_history,expertise,expertise,expertise,False,,fairness,expertise,8.253110117439605e-10,1.8608120155188196e-07,0.9999998130934874,1,1,1,0,0,0.9999998130934874,fairness,0.3333333333333333,0
full_history-000-expertise,2,full_history,expertise,expertise,expertise,False,,risk,expertise,2.727368160246068e-08,1.4257206267096828e-07,0.9999998301542556,1,1,1,0,0,0.9999998301542556,risk,0.41966561786679085,0
full_history-000-expertise,3,full_history,expertise,expertise,expertise,False,,risk,expertise,1.3335956690565486e-10,1.7084705340011822e-07,0.999999829019587,1,1,1,0,0,0.999999829019587,risk,0.2932080467988617,0
full_history-000-expertise,4,full_history,expertise,expertise,expertise,False,,risk,expertise,5.14252606198493e-09,3.3837189980832935e-10,0.999999994519102,1,1,1,0,0,0.999999994519102,risk,0.203194187692038,0
full_history-000-expertise,5,full_history,expertise,expertise,expertise,False,,expertise,expertise,3.492006323800534e-08,5.539430766128889e-07,0.9999994111368601,1,1,1,1,1,0.9999994111368601,expertise,0.3763966431254329,1
full_history-000-expertise,6,full_history,expertise,expertise,expertise,False,,expertise,expertise,1.6584451316998099e-09,5.626698798213559e-09,0.999999992714856,1,1,1,1,1,0.999999992714856,expertise,0.526345529694277,1
full_history-000-expertise,7,full_history,expertise,expertise,expertise,False,,fairness,expertise,3.9035978982404403e-10,1.67142139987929e-09,0.9999999979382188,1,1,1,0,0,0.9999999979382188,risk,0.26218696110401063,0
full_history-000-expertise,8,full_history,expertise,expertise,expertise,False,,risk,expertise,4.071601910973129e-10,5.227829800720123e-08,0.9999999473145419,1,1,1,0,0,0.9999999473145419,risk,0.3371039581074102,0
full_history-000-fairness,1,full_history,fairness,fairness,fairness,False,,risk,fairness,0.999998850515751,9.475328451085527e-10,1.148536716279561e-06,1,1,1,0,0,0.999998850515751,fairness,0.3333333333333333,1
full_history-000-fairness,2,full_history,fairness,fairness,fairness,False,,risk,fairness,0.9999999931291532,1.613963769059292e-10,6.70945024717814e-09,1,1,1,0,0,0.9999999931291532,risk,0.2567070016638839,0
