rounds_since_swap,match_new,new_lo,new_hi,n,n_clusters,match_old,old_lo,old_hi
-4,0.2916666666666667,0.125,0.4583333333333333,24,24,0.375,0.16666666666666666,0.5843750000000003
-3,0.25,0.08333333333333333,0.4583333333333333,24,24,0.375,0.2072916666666667,0.5416666666666666
-2,0.25,0.08333333333333333,0.41770833333333357,24,24,0.5416666666666666,0.3333333333333333,0.7083333333333334
-1,0.16666666666666666,0.041666666666666664,0.3333333333333333,24,24,0.4583333333333333,0.25,0.6666666666666666
0,0.16666666666666666,0.041666666666666664,0.3333333333333333,24,24,0.5416666666666666,0.37395833333333334,0.7093750000000003
1,0.16666666666666666,0.041666666666666664,0.3333333333333333,24,24,0.4166666666666667,0.24895833333333336,0.625
2,0.375,0.20833333333333334,0.5427083333333336,24,24,0.375,0.20833333333333334,0.5416666666666666
3,0.5416666666666666,0.375,0.75,24,24,0.20833333333333334,0.041666666666666664,0.375
4,0.5,0.290625,0.7083333333333334,24,24,0.20833333333333334,0.08333333333333333,0.375
5,0.3333333333333333,0.125,0.5416666666666666,24,24,0.125,0.0,0.25
