scenario_id,primary_strategy,n,fraction
archive_order,expertise,18,0.2727272727272727
archive_order,fairness,24,0.36363636363636365
archive_order,risk,24,0.36363636363636365
brochure_photo,expertise,23,0.42592592592592593
brochure_photo,fairness,6,0.1111111111111111
brochure_photo,other,9,0.16666666666666666
brochure_photo,risk,16,0.2962962962962963
caterer,expertise,23,0.3484848484848485
caterer,fairness,20,0.30303030303030304
caterer,risk,23,0.3484848484848485
entrance_plant,expertise,17,0.40476190476190477
entrance_plant,fairness,7,0.16666666666666666
entrance_plant,other,3,0.07142857142857142
entrance_plant,risk,15,0.35714285714285715
lobby_paint,expertise,20,0.37037037037037035
lobby_paint,fairness,17,0.3148148148148148
lobby_paint,other,4,0.07407407407407407
lobby_paint,risk,13,0.24074074074074073
meeting_slot,expertise,10,0.23809523809523808
meeting_slot,fairness,5,0.11904761904761904
meeting_slot,other,6,0.14285714285714285
meeting_slot,risk,21,0.5
newsletter_name,expertise,13,0.5416666666666666
newsletter_name,fairness,2,0.08333333333333333
newsletter_name,other,3,0.125
newsletter_name,risk,6,0.25
offsite_venue,expertise,12,0.4
offsite_venue,fairness,6,0.2
offsite_venue,other,4,0.13333333333333333
offsite_venue,risk,8,0.26666666666666666
paper_supplier,expertise,12,0.5
paper_supplier,fairness,3,0.125
paper_supplier,other,2,0.08333333333333333
paper_supplier,risk,7,0.2916666666666667
podcast_outro,expertise,10,0.23809523809523808
podcast_outro,fairness,7,0.16666666666666666
podcast_outro,other,9,0.21428571428571427
podcast_outro,risk,16,0.38095238095238093
room_layout,expertise,22,0.4074074074074074
room_layout,fairness,10,0.18518518518518517
room_layout,other,3,0.05555555555555555
room_layout,risk,19,0.35185185185185186
shuttle_stop,expertise,10,0.3333333333333333
shuttle_stop,fairness,1,0.03333333333333333
shuttle_stop,other,5,0.16666666666666666
shuttle_stop,risk,14,0.4666666666666667
task_tool,expertise,24,0.4
task_tool,fairness,13,0.21666666666666667
task_tool,other,2,0.03333333333333333
task_tool,risk,21,0.35
typeface,expertise,14,0.3888888888888889
typeface,fairness,13,0.3611111111111111
typeface,risk,9,0.25
