condition,round,mean,ci_lo,ci_hi,n,n_clusters
full_history,1,0.5833333333333334,0.25,0.8333333333333334,12,12
full_history,2,0.8333333333333334,0.5833333333333334,1.0,12,12
full_history,3,0.5,0.25,0.8333333333333334,12,12
full_history,4,0.5,0.25,0.75,12,12
full_history,5,0.5,0.2479166666666667,0.75,12,12
full_history,6,0.5833333333333334,0.25,0.8333333333333334,12,12
full_history,7,0.5,0.25,0.75,12,12
full_history,8,0.4166666666666667,0.16666666666666666,0.6666666666666666,12,12
no_history,1,0.6666666666666666,0.3333333333333333,0.9166666666666666,12,12
no_history,2,0.4166666666666667,0.16666666666666666,0.6687500000000004,12,12
no_history,3,0.6666666666666666,0.4166666666666667,0.9166666666666666,12,12
no_history,4,0.5833333333333334,0.33125000000000004,0.8333333333333334,12,12
no_history,5,0.5833333333333334,0.25,0.8333333333333334,12,12
no_history,6,0.5833333333333334,0.33125000000000004,0.8333333333333334,12,12
no_history,7,0.5833333333333334,0.3333333333333333,0.8333333333333334,12,12
no_history,8,0.4166666666666667,0.16666666666666666,0.6666666666666666,12,12
random_target,1,0.25,0.0,0.5,12,12
random_target,2,0.6666666666666666,0.4166666666666667,0.9166666666666666,12,12
random_target,3,0.5,0.25,0.75,12,12
random_target,4,0.5833333333333334,0.3333333333333333,0.8333333333333334,12,12
random_target,5,0.5,0.16666666666666666,0.75,12,12
random_target,6,0.4166666666666667,0.16666666666666666,0.6666666666666666,12,12
random_target,7,0.5,0.25,0.7520833333333338,12,12
random_target,8,0.5,0.25,0.75,12,12
shuffled_history,1,0.4166666666666667,0.16458333333333336,0.6687500000000004,12,12
shuffled_history,2,0.25,0.08333333333333333,0.5,12,12
shuffled_history,3,0.75,0.5,0.9166666666666666,12,12
shuffled_history,4,0.4166666666666667,0.16666666666666666,0.6666666666666666,12,12
shuffled_history,5,0.4166666666666667,0.16458333333333336,0.6687500000000004,12,12
shuffled_history,6,0.25,0.0,0.5,12,12
shuffled_history,7,0.5,0.25,0.75,12,12
shuffled_history,8,0.6666666666666666,0.4166666666666667,0.9166666666666666,12,12
swap,1,0.375,0.16666666666666666,0.5833333333333334,24,24
swap,2,0.5416666666666666,0.37395833333333334,0.7093750000000003,24,24
swap,3,0.5,0.3333333333333333,0.6677083333333336,24,24
swap,4,0.625,0.4166666666666667,0.8333333333333334,24,24
swap,5,0.5833333333333334,0.4166666666666667,0.75,24,24
swap,6,0.625,0.4166666666666667,0.7916666666666666,24,24
swap,7,0.7916666666666666,0.625,0.9166666666666666,24,24
swap,8,0.6666666666666666,0.49895833333333334,0.8333333333333334,24,24
swap,9,0.5416666666666666,0.3333333333333333,0.75,24,24
swap,10,0.625,0.4583333333333333,0.8333333333333334,24,24
