rounds_since_swap,match_new,new_lo,new_hi,n,n_clusters,match_old,old_lo,old_hi
-4,0.2916666666666667,0.125,0.5,24,24,0.375,0.20833333333333334,0.5833333333333334
-3,0.4583333333333333,0.25,0.6666666666666666,24,24,0.4583333333333333,0.25,0.6666666666666666
-2,0.25,0.08333333333333333,0.4166666666666667,24,24,0.5416666666666666,0.3333333333333333,0.75
-1,0.16666666666666666,0.041666666666666664,0.3333333333333333,24,24,0.4583333333333333,0.25,0.6666666666666666
0,0.16666666666666666,0.041666666666666664,0.3333333333333333,24,24,0.5416666666666666,0.3333333333333333,0.75
1,0.25,0.08333333333333333,0.4166666666666667,24,24,0.5833333333333334,0.375,0.7916666666666666
2,0.375,0.20833333333333334,0.5833333333333334,24,24,0.375,0.16666666666666666,0.5833333333333334
3,0.5416666666666666,0.3333333333333333,0.75,24,24,0.20833333333333334,0.041666666666666664,0.375
4,0.5,0.2916666666666667,0.7083333333333334,24,24,0.20833333333333334,0.041666666666666664,0.375
5,0.5,0.2916666666666667,0.7083333333333334,24,24,0.25,0.08333333333333333,0.4166666666666667
