condition,round,mean,ci_lo,ci_hi,n,n_clusters
full_history,1,0.0,0.0,0.0,10,10
full_history,2,0.2,0.0,0.5,10,10
full_history,3,0.3,0.0,0.6,10,10
full_history,4,0.5,0.2,0.8,10,10
full_history,5,0.5,0.2,0.8,10,10
full_history,6,0.5,0.2,0.8,10,10
full_history,7,0.4,0.1,0.7,10,10
full_history,8,0.6,0.3,0.9,10,10
no_history,1,0.0,0.0,0.0,8,8
no_history,2,0.0,0.0,0.0,8,8
no_history,3,0.0,0.0,0.0,8,8
no_history,4,0.0,0.0,0.0,8,8
no_history,5,0.0,0.0,0.0,8,8
no_history,6,0.0,0.0,0.0,8,8
no_history,7,0.0,0.0,0.0,8,8
no_history,8,0.0,0.0,0.0,8,8
random_target,1,0.0,0.0,0.0,10,10
random_target,2,0.6,0.3,0.9,10,10
random_target,3,0.4,0.1,0.7,10,10
random_target,4,0.4,0.1,0.7,10,10
random_target,5,0.7,0.4,0.9,10,10
random_target,6,0.5,0.2,0.8,10,10
random_target,7,0.3,0.0,0.6,10,10
random_target,8,0.2,0.0,0.5,10,10
shuffled_history,1,0.0,0.0,0.0,9,9
shuffled_history,2,0.3333333333333333,0.1111111111111111,0.6666666666666666,9,9
shuffled_history,3,0.4444444444444444,0.1111111111111111,0.7777777777777778,9,9
shuffled_history,4,0.1111111111111111,0.0,0.3333333333333333,9,9
shuffled_history,5,0.2222222222222222,0.0,0.5555555555555556,9,9
shuffled_history,6,0.2222222222222222,0.0,0.5555555555555556,9,9
shuffled_history,7,0.3333333333333333,0.0,0.6666666666666666,9,9
shuffled_history,8,0.4444444444444444,0.1111111111111111,0.7777777777777778,9,9
