episode_id,initial_target_type,final_target_type,pre_swap_match_rate,post_swap_match_new_rate,post_swap_match_old_rate,rounds_to_adapt,adapted,n_post_rounds
swap-000-expertise-to-fairness,expertise,fairness,0.2,0.8,0.2,2.0,True,5
swap-000-expertise-to-risk,expertise,risk,0.8,0.2,0.2,5.0,True,5
swap-000-fairness-to-expertise,fairness,expertise,0.2,1.0,0.0,1.0,True,5
swap-000-fairness-to-risk,fairness,risk,0.2,0.0,0.2,,False,5
swap-000-risk-to-expertise,risk,expertise,0.4,1.0,0.0,1.0,True,5
swap-000-risk-to-fairness,risk,fairness,0.4,0.0,0.8,,False,5
swap-001-expertise-to-fairness,expertise,fairness,0.2,1.0,0.0,1.0,True,5
swap-001-expertise-to-risk,expertise,risk,0.6,1.0,0.0,1.0,True,5
swap-001-fairness-to-expertise,fairness,expertise,0.2,0.6,0.2,3.0,True,5
swap-001-fairness-to-risk,fairness,risk,1.0,0.4,0.4,3.0,True,5
swap-001-risk-to-expertise,risk,expertise,0.4,0.8,0.2,2.0,True,5
swap-001-risk-to-fairness,risk,fairness,0.6,0.4,0.2,4.0,True,5
swap-002-expertise-to-fairness,expertise,fairness,1.0,0.2,0.6,3.0,True,5
swap-002-expertise-to-risk,expertise,risk,0.4,0.2,0.6,4.0,True,5
swap-002-fairness-to-expertise,fairness,expertise,0.2,0.2,0.2,5.0,True,5
swap-002-fairness-to-risk,fairness,risk,0.2,0.6,0.2,2.0,True,5
swap-002-risk-to-expertise,risk,expertise,0.6,0.0,0.0,,False,5
swap-002-risk-to-fairness,risk,fairness,0.2,0.6,0.2,1.0,True,5
swap-003-expertise-to-fairness,expertise,fairness,0.4,0.2,0.6,5.0,True,5
swap-003-expertise-to-risk,expertise,risk,0.8,0.0,1.0,,False,5
swap-003-fairness-to-expertise,fairness,expertise,0.2,0.6,0.4,1.0,True,5
swap-003-fairness-to-risk,fairness,risk,0.6,0.2,0.4,3.0,True,5
swap-003-risk-to-expertise,risk,expertise,1.0,0.4,0.6,4.0,True,5
swap-003-risk-to-fairness,risk,fairness,0.6,0.0,0.6,,False,5
