scenario_id,primary_strategy,n,fraction
archive_order,expertise,18,0.2727272727272727
archive_order,fairness,24,0.36363636363636365
archive_order,risk,24,0.36363636363636365
brochure_photo,expertise,23,0.42592592592592593
brochure_photo,fairness,15,0.2777777777777778
brochure_photo,risk,16,0.2962962962962963
caterer,expertise,23,0.3484848484848485
caterer,fairness,20,0.30303030303030304
caterer,risk,23,0.3484848484848485
entrance_plant,expertise,17,0.40476190476190477
entrance_plant,fairness,10,0.23809523809523808
entrance_plant,risk,15,0.35714285714285715
lobby_paint,expertise,20,0.37037037037037035
lobby_paint,fairness,21,0.3888888888888889
lobby_paint,risk,13,0.24074074074074073
meeting_slot,expertise,10,0.23809523809523808
meeting_slot,fairness,11,0.2619047619047619
meeting_slot,risk,21,0.5
newsletter_name,expertise,13,0.5416666666666666
newsletter_name,fairness,5,0.20833333333333334
newsletter_name,risk,6,0.25
offsite_venue,expertise,12,0.4
offsite_venue,fairness,10,0.3333333333333333
offsite_venue,risk,8,0.26666666666666666
paper_supplier,expertise,12,0.5
paper_supplier,fairness,5,0.20833333333333334
paper_supplier,risk,7,0.2916666666666667
podcast_outro,expertise,10,0.23809523809523808
podcast_outro,fairness,16,0.38095238095238093
podcast_outro,risk,16,0.38095238095238093
room_layout,expertise,22,0.4074074074074074
room_layout,fairness,13,0.24074074074074073
room_layout,risk,19,0.35185185185185186
shuttle_stop,expertise,10,0.3333333333333333
shuttle_stop,fairness,6,0.2
shuttle_stop,risk,14,0.4666666666666667
task_tool,expertise,24,0.4
task_tool,fairness,15,0.25
task_tool,risk,21,0.35
typeface,expertise,14,0.3888888888888889
typeface,fairness,13,0.3611111111111111
typeface,risk,9,0.25
