condition,hidden_target_type,primary_strategy,n,fraction
full_history,expertise,expertise,15,0.46875
full_history,expertise,fairness,6,0.1875
full_history,expertise,risk,11,0.34375
full_history,fairness,expertise,8,0.25
full_history,fairness,fairness,15,0.46875
full_history,fairness,risk,9,0.28125
full_history,risk,expertise,11,0.34375
full_history,risk,fairness,8,0.25
full_history,risk,risk,13,0.40625
no_history,expertise,expertise,16,0.5
no_history,expertise,fairness,16,0.5
no_history,fairness,fairness,8,0.25
no_history,fairness,risk,24,0.75
no_history,risk,expertise,24,0.75
no_history,risk,risk,8,0.25
random_target,expertise,expertise,8,0.25
random_target,expertise,fairness,13,0.40625
random_target,expertise,risk,11,0.34375
random_target,fairness,expertise,7,0.21875
random_target,fairness,fairness,14,0.4375
random_target,fairness,risk,11,0.34375
random_target,risk,expertise,8,0.25
random_target,risk,fairness,9,0.28125
random_target,risk,risk,15,0.46875
shuffled_history,expertise,expertise,7,0.21875
shuffled_history,expertise,fairness,17,0.53125
shuffled_history,expertise,risk,8,0.25
shuffled_history,fairness,expertise,10,0.3125
shuffled_history,fairness,fairness,9,0.28125
shuffled_history,fairness,risk,13,0.40625
shuffled_history,risk,expertise,15,0.46875
shuffled_history,risk,fairness,6,0.1875
shuffled_history,risk,risk,11,0.34375
swap,expertise,expertise,45,0.5625
swap,expertise,fairness,15,0.1875
swap,expertise,risk,20,0.25
swap,fairness,expertise,26,0.325
swap,fairness,fairness,30,0.375
swap,fairness,risk,24,0.3
swap,risk,expertise,28,0.35
swap,risk,fairness,18,0.225
swap,risk,risk,34,0.425
