scenario_id,primary_strategy,n,fraction
archive_order,other,22,0.9166666666666666
archive_order,risk,2,0.08333333333333333
brochure_photo,other,18,1.0
caterer,fairness,4,0.16666666666666666
caterer,other,8,0.3333333333333333
caterer,risk,12,0.5
entrance_plant,other,10,0.8333333333333334
entrance_plant,risk,2,0.16666666666666666
lobby_paint,other,17,0.9444444444444444
lobby_paint,risk,1,0.05555555555555555
meeting_slot,other,9,0.75
meeting_slot,risk,3,0.25
offsite_venue,other,5,0.8333333333333334
offsite_venue,risk,1,0.16666666666666666
paper_supplier,expertise,2,0.3333333333333333
paper_supplier,other,2,0.3333333333333333
paper_supplier,risk,2,0.3333333333333333
podcast_outro,other,17,0.9444444444444444
podcast_outro,risk,1,0.05555555555555555
room_layout,fairness,4,0.2222222222222222
room_layout,other,14,0.7777777777777778
shuttle_stop,fairness,5,0.8333333333333334
shuttle_stop,other,1,0.16666666666666666
task_tool,expertise,3,0.16666666666666666
task_tool,other,15,0.8333333333333334
typeface,other,12,1.0
