condition,hidden_target_type,primary_strategy,n,fraction
full_history,expertise,fairness,2,0.0625
full_history,expertise,other,27,0.84375
full_history,expertise,risk,3,0.09375
full_history,fairness,expertise,1,0.03125
full_history,fairness,fairness,5,0.15625
full_history,fairness,other,23,0.71875
full_history,fairness,risk,3,0.09375
full_history,risk,fairness,3,0.09375
full_history,risk,other,20,0.625
full_history,risk,risk,9,0.28125
no_history,expertise,expertise,1,0.03125
no_history,expertise,fairness,1,0.03125
no_history,expertise,other,25,0.78125
no_history,expertise,risk,5,0.15625
no_history,fairness,expertise,1,0.03125
no_history,fairness,other,30,0.9375
no_history,fairness,risk,1,0.03125
no_history,risk,expertise,2,0.0625
no_history,risk,fairness,2,0.0625
no_history,risk,other,25,0.78125
no_history,risk,risk,3,0.09375
