scenario_id,primary_strategy,n,fraction
archive_order,expertise,4,0.16666666666666666
archive_order,other,16,0.6666666666666666
archive_order,risk,4,0.16666666666666666
brochure_photo,expertise,3,0.16666666666666666
brochure_photo,other,15,0.8333333333333334
caterer,expertise,2,0.08333333333333333
caterer,other,16,0.6666666666666666
caterer,risk,6,0.25
entrance_plant,expertise,3,0.25
entrance_plant,other,9,0.75
lobby_paint,other,17,0.9444444444444444
lobby_paint,risk,1,0.05555555555555555
meeting_slot,other,7,0.5833333333333334
meeting_slot,risk,5,0.4166666666666667
offsite_venue,other,4,0.6666666666666666
offsite_venue,risk,2,0.3333333333333333
paper_supplier,other,3,0.5
paper_supplier,risk,3,0.5
podcast_outro,expertise,6,0.3333333333333333
podcast_outro,other,10,0.5555555555555556
podcast_outro,risk,2,0.1111111111111111
room_layout,expertise,1,0.05555555555555555
room_layout,other,17,0.9444444444444444
shuttle_stop,other,6,1.0
task_tool,other,18,1.0
typeface,expertise,11,0.9166666666666666
typeface,other,1,0.08333333333333333
