condition,hidden_target_type,primary_strategy,n,fraction
full_history,expertise,expertise,12,0.375
full_history,expertise,other,18,0.5625
full_history,expertise,risk,2,0.0625
full_history,fairness,expertise,2,0.0625
full_history,fairness,other,26,0.8125
full_history,fairness,risk,4,0.125
full_history,risk,expertise,3,0.09375
full_history,risk,other,24,0.75
full_history,risk,risk,5,0.15625
no_history,expertise,expertise,3,0.09375
no_history,expertise,other,25,0.78125
no_history,expertise,risk,4,0.125
no_history,fairness,expertise,3,0.09375
no_history,fairness,other,24,0.75
no_history,fairness,risk,5,0.15625
no_history,risk,expertise,7,0.21875
no_history,risk,other,22,0.6875
no_history,risk,risk,3,0.09375
