scenario_id,primary_strategy,n,fraction
archive_order,expertise,5,0.20833333333333334
archive_order,other,14,0.5833333333333334
archive_order,risk,5,0.20833333333333334
brochure_photo,expertise,5,0.2777777777777778
brochure_photo,other,12,0.6666666666666666
brochure_photo,risk,1,0.05555555555555555
caterer,expertise,3,0.125
caterer,other,6,0.25
caterer,risk,15,0.625
entrance_plant,expertise,3,0.25
entrance_plant,other,9,0.75
lobby_paint,other,17,0.9444444444444444
lobby_paint,risk,1,0.05555555555555555
meeting_slot,other,6,0.5
meeting_slot,risk,6,0.5
offsite_venue,expertise,1,0.16666666666666666
offsite_venue,other,3,0.5
offsite_venue,risk,2,0.3333333333333333
paper_supplier,other,2,0.3333333333333333
paper_supplier,risk,4,0.6666666666666666
podcast_outro,expertise,6,0.3333333333333333
podcast_outro,other,10,0.5555555555555556
podcast_outro,risk,2,0.1111111111111111
room_layout,expertise,2,0.1111111111111111
room_layout,other,16,0.8888888888888888
shuttle_stop,other,6,1.0
task_tool,expertise,1,0.05555555555555555
task_tool,other,16,0.8888888888888888
task_tool,risk,1,0.05555555555555555
typeface,expertise,10,0.8333333333333334
typeface,other,1,0.08333333333333333
typeface,risk,1,0.08333333333333333
