condition,hidden_target_type,primary_strategy,n,fraction
full_history,expertise,expertise,13,0.40625
full_history,expertise,other,13,0.40625
full_history,expertise,risk,6,0.1875
full_history,fairness,expertise,5,0.15625
full_history,fairness,other,21,0.65625
full_history,fairness,risk,6,0.1875
full_history,risk,expertise,3,0.09375
full_history,risk,other,19,0.59375
full_history,risk,risk,10,0.3125
no_history,expertise,expertise,4,0.125
no_history,expertise,other,21,0.65625
no_history,expertise,risk,7,0.21875
no_history,fairness,expertise,3,0.09375
no_history,fairness,other,23,0.71875
no_history,fairness,risk,6,0.1875
no_history,risk,expertise,8,0.25
no_history,risk,other,21,0.65625
no_history,risk,risk,3,0.09375
