condition,hidden_target_type,independent_label,n,fraction,cell_n
full_history,expertise,fairness,1,0.0625,16
full_history,expertise,risk,1,0.0625,16
full_history,expertise,expertise,3,0.1875,16
full_history,expertise,other,11,0.6875,16
full_history,fairness,fairness,1,0.0625,16
full_history,fairness,risk,4,0.25,16
full_history,fairness,expertise,0,0.0,16
full_history,fairness,other,11,0.6875,16
full_history,risk,fairness,3,0.1875,16
full_history,risk,risk,4,0.25,16
full_history,risk,expertise,1,0.0625,16
full_history,risk,other,8,0.5,16
no_history,expertise,fairness,1,0.0625,16
no_history,expertise,risk,2,0.125,16
no_history,expertise,expertise,2,0.125,16
no_history,expertise,other,11,0.6875,16
no_history,fairness,fairness,3,0.1875,16
no_history,fairness,risk,1,0.0625,16
no_history,fairness,expertise,2,0.125,16
no_history,fairness,other,10,0.625,16
no_history,risk,fairness,1,0.0625,16
no_history,risk,risk,4,0.25,16
no_history,risk,expertise,1,0.0625,16
no_history,risk,other,10,0.625,16
random_target,expertise,fairness,2,0.125,16
random_target,expertise,risk,3,0.1875,16
random_target,expertise,expertise,1,0.0625,16
random_target,expertise,other,10,0.625,16
random_target,fairness,fairness,2,0.125,16
random_target,fairness,risk,3,0.1875,16
random_target,fairness,expertise,0,0.0,16
random_target,fairness,other,11,0.6875,16
random_target,risk,fairness,3,0.1875,16
random_target,risk,risk,2,0.125,16
random_target,risk,expertise,1,0.0625,16
random_target,risk,other,10,0.625,16
shuffled_history,expertise,fairness,1,0.0625,16
shuffled_history,expertise,risk,3,0.1875,16
shuffled_history,expertise,expertise,0,0.0,16
shuffled_history,expertise,other,12,0.75,16
shuffled_history,fairness,fairness,1,0.0625,16
shuffled_history,fairness,risk,4,0.25,16
shuffled_history,fairness,expertise,1,0.0625,16
shuffled_history,fairness,other,10,0.625,16
shuffled_history,risk,fairness,4,0.25,16
shuffled_history,risk,risk,3,0.1875,16
shuffled_history,risk,expertise,1,0.0625,16
shuffled_history,risk,other,8,0.5,16
swap,expertise,fairness,6,0.15,40
swap,expertise,risk,6,0.15,40
swap,expertise,expertise,3,0.075,40
swap,expertise,other,25,0.625,40
swap,fairness,fairness,7,0.175,40
swap,fairness,risk,6,0.15,40
swap,fairness,expertise,2,0.05,40
swap,fairness,other,25,0.625,40
swap,risk,fairness,8,0.2,40
swap,risk,risk,4,0.1,40
swap,risk,expertise,4,0.1,40
swap,risk,other,24,0.6,40
