scenario_id,primary_strategy,n,fraction
archive_order,expertise,2,0.1111111111111111
archive_order,other,16,0.8888888888888888
brochure_photo,other,12,1.0
caterer,expertise,4,0.13333333333333333
caterer,fairness,8,0.26666666666666666
caterer,other,3,0.1
caterer,risk,15,0.5
entrance_plant,other,23,0.9583333333333334
entrance_plant,risk,1,0.041666666666666664
lobby_paint,other,18,1.0
meeting_slot,other,20,0.8333333333333334
meeting_slot,risk,4,0.16666666666666666
newsletter_name,fairness,9,0.375
newsletter_name,other,15,0.625
offsite_venue,fairness,1,0.05555555555555555
offsite_venue,other,16,0.8888888888888888
offsite_venue,risk,1,0.05555555555555555
paper_supplier,expertise,5,0.1388888888888889
paper_supplier,other,5,0.1388888888888889
paper_supplier,risk,26,0.7222222222222222
podcast_outro,other,33,0.9166666666666666
podcast_outro,risk,3,0.08333333333333333
room_layout,fairness,9,0.5
room_layout,other,9,0.5
shuttle_stop,expertise,3,0.125
shuttle_stop,fairness,17,0.7083333333333334
shuttle_stop,other,4,0.16666666666666666
task_tool,expertise,6,0.25
task_tool,other,18,0.75
typeface,expertise,2,0.3333333333333333
typeface,other,4,0.6666666666666666
