condition,hidden_target_type,primary_strategy,n,fraction
full_history,expertise,expertise,3,0.1875
full_history,expertise,fairness,1,0.0625
full_history,expertise,other,11,0.6875
full_history,expertise,risk,1,0.0625
full_history,fairness,fairness,1,0.0625
full_history,fairness,other,11,0.6875
full_history,fairness,risk,4,0.25
full_history,risk,expertise,1,0.0625
full_history,risk,fairness,3,0.1875
full_history,risk,other,8,0.5
full_history,risk,risk,4,0.25
no_history,expertise,expertise,2,0.125
no_history,expertise,fairness,1,0.0625
no_history,expertise,other,11,0.6875
no_history,expertise,risk,2,0.125
no_history,fairness,expertise,2,0.125
no_history,fairness,fairness,3,0.1875
no_history,fairness,other,10,0.625
no_history,fairness,risk,1,0.0625
no_history,risk,expertise,1,0.0625
no_history,risk,fairness,1,0.0625
no_history,risk,other,10,0.625
no_history,risk,risk,4,0.25
random_target,expertise,expertise,1,0.0625
random_target,expertise,fairness,2,0.125
random_target,expertise,other,10,0.625
random_target,expertise,risk,3,0.1875
random_target,fairness,fairness,2,0.125
random_target,fairness,other,11,0.6875
random_target,fairness,risk,3,0.1875
random_target,risk,expertise,1,0.0625
random_target,risk,fairness,3,0.1875
random_target,risk,other,10,0.625
random_target,risk,risk,2,0.125
shuffled_history,expertise,fairness,1,0.0625
shuffled_history,expertise,other,12,0.75
shuffled_history,expertise,risk,3,0.1875
shuffled_history,fairness,expertise,1,0.0625
shuffled_history,fairness,fairness,1,0.0625
shuffled_history,fairness,other,10,0.625
shuffled_history,fairness,risk,4,0.25
shuffled_history,risk,expertise,1,0.0625
shuffled_history,risk,fairness,4,0.25
shuffled_history,risk,other,8,0.5
shuffled_history,risk,risk,3,0.1875
swap,expertise,expertise,3,0.075
swap,expertise,fairness,6,0.15
swap,expertise,other,25,0.625
swap,expertise,risk,6,0.15
swap,fairness,expertise,2,0.05
swap,fairness,fairness,7,0.175
swap,fairness,other,25,0.625
swap,fairness,risk,6,0.15
swap,risk,expertise,4,0.1
swap,risk,fairness,8,0.2
swap,risk,other,24,0.6
swap,risk,risk,4,0.1
