condition,hidden_target_type,independent_label,n,fraction,cell_n
full_history,expertise,fairness,1,0.0625,16
full_history,expertise,risk,2,0.125,16
full_history,expertise,expertise,0,0.0,16
full_history,expertise,other,13,0.8125,16
full_history,fairness,fairness,1,0.0625,16
full_history,fairness,risk,4,0.25,16
full_history,fairness,expertise,0,0.0,16
full_history,fairness,other,11,0.6875,16
full_history,risk,fairness,0,0.0,16
full_history,risk,risk,4,0.25,16
full_history,risk,expertise,0,0.0,16
full_history,risk,other,12,0.75,16
no_history,expertise,fairness,1,0.0625,16
no_history,expertise,risk,1,0.0625,16
no_history,expertise,expertise,1,0.0625,16
no_history,expertise,other,13,0.8125,16
no_history,fairness,fairness,1,0.0625,16
no_history,fairness,risk,2,0.125,16
no_history,fairness,expertise,1,0.0625,16
no_history,fairness,other,12,0.75,16
no_history,risk,fairness,1,0.0625,16
no_history,risk,risk,3,0.1875,16
no_history,risk,expertise,1,0.0625,16
no_history,risk,other,11,0.6875,16
random_target,expertise,fairness,1,0.0625,16
random_target,expertise,risk,4,0.25,16
random_target,expertise,expertise,0,0.0,16
random_target,expertise,other,11,0.6875,16
random_target,fairness,fairness,1,0.0625,16
random_target,fairness,risk,2,0.125,16
random_target,fairness,expertise,0,0.0,16
random_target,fairness,other,13,0.8125,16
random_target,risk,fairness,1,0.0625,16
random_target,risk,risk,4,0.25,16
random_target,risk,expertise,0,0.0,16
random_target,risk,other,11,0.6875,16
shuffled_history,expertise,fairness,1,0.0625,16
shuffled_history,expertise,risk,4,0.25,16
shuffled_history,expertise,expertise,0,0.0,16
shuffled_history,expertise,other,11,0.6875,16
shuffled_history,fairness,fairness,0,0.0,16
shuffled_history,fairness,risk,4,0.25,16
shuffled_history,fairness,expertise,0,0.0,16
shuffled_history,fairness,other,12,0.75,16
shuffled_history,risk,fairness,1,0.0625,16
shuffled_history,risk,risk,3,0.1875,16
shuffled_history,risk,expertise,0,0.0,16
shuffled_history,risk,other,12,0.75,16
swap,expertise,fairness,5,0.125,40
swap,expertise,risk,6,0.15,40
swap,expertise,expertise,0,0.0,40
swap,expertise,other,29,0.725,40
swap,fairness,fairness,4,0.1,40
swap,fairness,risk,5,0.125,40
swap,fairness,expertise,0,0.0,40
swap,fairness,other,31,0.775,40
swap,risk,fairness,4,0.1,40
swap,risk,risk,5,0.125,40
swap,risk,expertise,1,0.025,40
swap,risk,other,30,0.75,40
