condition,round,mean,ci_lo,ci_hi,n,n_clusters
full_history,1,0.0,0.0,0.0,6,6
full_history,2,0.16666666666666666,0.0,0.5,6,6
full_history,3,0.16666666666666666,0.0,0.5,6,6
full_history,4,0.0,0.0,0.0,6,6
full_history,5,0.16666666666666666,0.0,0.5,6,6
full_history,6,0.3333333333333333,0.0,0.6666666666666666,6,6
full_history,7,0.0,0.0,0.0,6,6
full_history,8,0.0,0.0,0.0,6,6
no_history,1,0.0,0.0,0.0,6,6
no_history,2,0.5,0.16666666666666666,0.8333333333333334,6,6
no_history,3,0.0,0.0,0.0,6,6
no_history,4,0.0,0.0,0.0,6,6
no_history,5,0.16666666666666666,0.0,0.5,6,6
no_history,6,0.16666666666666666,0.0,0.5,6,6
no_history,7,0.0,0.0,0.0,6,6
no_history,8,0.0,0.0,0.0,6,6
random_target,1,0.0,0.0,0.0,6,6
random_target,2,0.3333333333333333,0.0,0.6666666666666666,6,6
random_target,3,0.16666666666666666,0.0,0.5,6,6
random_target,4,0.0,0.0,0.0,6,6
random_target,5,0.16666666666666666,0.0,0.5,6,6
random_target,6,0.16666666666666666,0.0,0.5,6,6
random_target,7,0.0,0.0,0.0,6,6
random_target,8,0.0,0.0,0.0,6,6
shuffled_history,1,0.0,0.0,0.0,6,6
shuffled_history,2,0.16666666666666666,0.0,0.5,6,6
shuffled_history,3,0.16666666666666666,0.0,0.5,6,6
shuffled_history,4,0.0,0.0,0.0,6,6
shuffled_history,5,0.0,0.0,0.0,6,6
shuffled_history,6,0.16666666666666666,0.0,0.5,6,6
shuffled_history,7,0.0,0.0,0.0,6,6
shuffled_history,8,0.0,0.0,0.0,6,6
