scenario_id,primary_strategy,n,fraction
archive_order,expertise,1,0.05555555555555555
archive_order,other,17,0.9444444444444444
brochure_photo,other,12,1.0
caterer,expertise,3,0.1
caterer,other,5,0.16666666666666666
caterer,risk,22,0.7333333333333333
entrance_plant,other,24,1.0
lobby_paint,other,18,1.0
meeting_slot,other,24,1.0
newsletter_name,other,24,1.0
offsite_venue,other,17,0.9444444444444444
offsite_venue,risk,1,0.05555555555555555
paper_supplier,other,6,0.16666666666666666
paper_supplier,risk,30,0.8333333333333334
podcast_outro,other,36,1.0
room_layout,fairness,2,0.1111111111111111
room_layout,other,16,0.8888888888888888
shuttle_stop,fairness,21,0.875
shuttle_stop,other,3,0.125
task_tool,other,24,1.0
typeface,other,6,1.0
