condition,hidden_target_type,primary_strategy,n,fraction
full_history,expertise,fairness,1,0.0625
full_history,expertise,other,13,0.8125
full_history,expertise,risk,2,0.125
full_history,fairness,fairness,1,0.0625
full_history,fairness,other,11,0.6875
full_history,fairness,risk,4,0.25
full_history,risk,other,12,0.75
full_history,risk,risk,4,0.25
no_history,expertise,expertise,1,0.0625
no_history,expertise,fairness,1,0.0625
no_history,expertise,other,13,0.8125
no_history,expertise,risk,1,0.0625
no_history,fairness,expertise,1,0.0625
no_history,fairness,fairness,1,0.0625
no_history,fairness,other,12,0.75
no_history,fairness,risk,2,0.125
no_history,risk,expertise,1,0.0625
no_history,risk,fairness,1,0.0625
no_history,risk,other,11,0.6875
no_history,risk,risk,3,0.1875
random_target,expertise,fairness,1,0.0625
random_target,expertise,other,11,0.6875
random_target,expertise,risk,4,0.25
random_target,fairness,fairness,1,0.0625
random_target,fairness,other,13,0.8125
random_target,fairness,risk,2,0.125
random_target,risk,fairness,1,0.0625
random_target,risk,other,11,0.6875
random_target,risk,risk,4,0.25
shuffled_history,expertise,fairness,1,0.0625
shuffled_history,expertise,other,11,0.6875
shuffled_history,expertise,risk,4,0.25
shuffled_history,fairness,other,12,0.75
shuffled_history,fairness,risk,4,0.25
shuffled_history,risk,fairness,1,0.0625
shuffled_history,risk,other,12,0.75
shuffled_history,risk,risk,3,0.1875
swap,expertise,fairness,5,0.125
swap,expertise,other,29,0.725
swap,expertise,risk,6,0.15
swap,fairness,fairness,4,0.1
swap,fairness,other,31,0.775
swap,fairness,risk,5,0.125
swap,risk,expertise,1,0.025
swap,risk,fairness,4,0.1
swap,risk,other,30,0.75
swap,risk,risk,5,0.125
