condition,round,mean_words,sd_words,n
full_history,1,29.666666666666668,3.2566947363946475,12
full_history,2,27.666666666666668,1.4354811251305473,12
full_history,3,28.0,3.668043818514911,12
full_history,4,28.333333333333332,3.915780041490243,12
full_history,5,30.25,2.8001623329566256,12
full_history,6,27.916666666666668,2.2746961169005457,12
full_history,7,27.333333333333332,4.0750534482458765,12
full_history,8,32.416666666666664,5.468227788919839,12
no_history,1,30.166666666666668,3.1285585799020588,12
no_history,2,27.916666666666668,2.1514618004482156,12
no_history,3,26.666666666666668,4.334498677803326,12
no_history,4,29.083333333333332,4.851585182997283,12
no_history,5,30.166666666666668,3.1285585799020588,12
no_history,6,27.583333333333332,2.4664414311581253,12
no_history,7,26.333333333333332,3.9157800414902435,12
no_history,8,29.583333333333332,5.035480176314927,12
random_target,1,31.25,3.360871099202489,12
random_target,2,28.333333333333332,1.7752507291971897,12
random_target,3,27.833333333333332,3.8098755248894305,12
random_target,4,31.0,5.3427946381509495,12
random_target,5,30.666666666666668,3.8217876191725524,12
random_target,6,27.583333333333332,3.232177237864548,12
random_target,7,26.833333333333332,3.4333480435107053,12
random_target,8,30.5,5.68090901817018,12
shuffled_history,1,31.166666666666668,3.40676688460784,12
shuffled_history,2,27.666666666666668,1.4354811251305455,12
shuffled_history,3,28.0,3.6680438185149127,12
shuffled_history,4,28.333333333333332,3.915780041490244,12
shuffled_history,5,30.25,2.800162332956625,12
shuffled_history,6,27.916666666666668,2.274696116900546,12
shuffled_history,7,27.333333333333332,4.0750534482458765,12
shuffled_history,8,32.416666666666664,5.468227788919839,12
swap,1,27.166666666666668,3.3257489473208985,12
swap,2,27.833333333333332,1.2673044646258471,12
swap,3,27.333333333333332,3.7497474662443677,12
swap,4,28.416666666666668,2.678477631835372,12
swap,5,28.583333333333332,2.8109633849474367,12
swap,6,28.583333333333332,1.2401124093721456,12
swap,7,25.0,3.437758254761643,12
swap,8,28.75,4.826536495817114,12
swap,9,30.666666666666668,2.902454551623922,12
swap,10,28.083333333333332,1.5642792899510307,12
