analysis,effect,n_episode_seeds,n_episodes,power
behavior,0.100,4,12,0.0980
behavior,0.100,8,24,0.0965
behavior,0.100,12,36,0.1270
behavior,0.100,16,48,0.1475
behavior,0.100,20,60,0.1765
behavior,0.150,4,12,0.1315
behavior,0.150,8,24,0.1570
behavior,0.150,12,36,0.2175
behavior,0.150,16,48,0.2480
behavior,0.150,20,60,0.2910
behavior,0.200,4,12,0.1570
behavior,0.200,8,24,0.2355
behavior,0.200,12,36,0.3360
behavior,0.200,16,48,0.4130
behavior,0.200,20,60,0.4795
behavior,0.250,4,12,0.2195
behavior,0.250,8,24,0.3505
behavior,0.250,12,36,0.4600
behavior,0.250,16,48,0.5625
behavior,0.250,20,60,0.6705
swap_gap,0.300,4,24,0.3120
swap_gap,0.300,8,48,0.5265
swap_gap,0.300,12,72,0.7120
swap_gap,0.300,16,96,0.8410
swap_gap,0.300,20,120,0.8955
swap_gap,0.500,4,24,0.6860
swap_gap,0.500,8,48,0.9305
swap_gap,0.500,12,72,0.9915
swap_gap,0.500,16,96,0.9980
swap_gap,0.500,20,120,0.9995
swap_gap,0.700,4,24,0.9155
swap_gap,0.700,8,48,0.9995
swap_gap,0.700,12,72,1.0000
swap_gap,0.700,16,96,1.0000
swap_gap,0.700,20,120,1.0000
