scenario_id,primary_strategy,n,fraction
archive_order,expertise,16,0.2807017543859649
archive_order,fairness,21,0.3684210526315789
archive_order,risk,20,0.3508771929824561
brochure_photo,expertise,19,0.4222222222222222
brochure_photo,fairness,11,0.24444444444444444
brochure_photo,risk,15,0.3333333333333333
caterer,expertise,18,0.3157894736842105
caterer,fairness,17,0.2982456140350877
caterer,risk,22,0.38596491228070173
entrance_plant,expertise,13,0.3939393939393939
entrance_plant,fairness,8,0.24242424242424243
entrance_plant,risk,12,0.36363636363636365
lobby_paint,expertise,16,0.35555555555555557
lobby_paint,fairness,17,0.37777777777777777
lobby_paint,risk,12,0.26666666666666666
meeting_slot,expertise,8,0.24242424242424243
meeting_slot,fairness,10,0.30303030303030304
meeting_slot,risk,15,0.45454545454545453
newsletter_name,expertise,6,0.5
newsletter_name,fairness,4,0.3333333333333333
newsletter_name,risk,2,0.16666666666666666
offsite_venue,expertise,9,0.42857142857142855
offsite_venue,fairness,6,0.2857142857142857
offsite_venue,risk,6,0.2857142857142857
paper_supplier,expertise,9,0.5
paper_supplier,fairness,4,0.2222222222222222
paper_supplier,risk,5,0.2777777777777778
podcast_outro,expertise,10,0.2564102564102564
podcast_outro,fairness,14,0.358974358974359
podcast_outro,risk,15,0.38461538461538464
room_layout,expertise,18,0.4
room_layout,fairness,11,0.24444444444444444
room_layout,risk,16,0.35555555555555557
shuttle_stop,expertise,7,0.3333333333333333
shuttle_stop,fairness,5,0.23809523809523808
shuttle_stop,risk,9,0.42857142857142855
task_tool,expertise,22,0.4583333333333333
task_tool,fairness,9,0.1875
task_tool,risk,17,0.3541666666666667
typeface,expertise,13,0.43333333333333335
typeface,fairness,10,0.3333333333333333
typeface,risk,7,0.23333333333333334
