condition,hidden_target_type,primary_strategy,n,fraction
full_history,expertise,expertise,15,0.46875
full_history,expertise,fairness,6,0.1875
full_history,expertise,risk,11,0.34375
full_history,fairness,expertise,8,0.25
full_history,fairness,fairness,15,0.46875
full_history,fairness,risk,9,0.28125
full_history,risk,expertise,11,0.34375
full_history,risk,fairness,8,0.25
full_history,risk,risk,13,0.40625
no_history,expertise,expertise,16,0.5
no_history,expertise,fairness,16,0.5
no_history,fairness,fairness,8,0.25
no_history,fairness,risk,24,0.75
no_history,risk,expertise,24,0.75
no_history,risk,risk,8,0.25
random_target,expertise,expertise,8,0.25
random_target,expertise,fairness,13,0.40625
random_target,expertise,risk,11,0.34375
random_target,fairness,expertise,7,0.21875
random_target,fairness,fairness,14,0.4375
random_target,fairness,risk,11,0.34375
random_target,risk,expertise,8,0.25
random_target,risk,fairness,9,0.28125
random_target,risk,risk,15,0.46875
shuffled_history,expertise,expertise,7,0.21875
shuffled_history,expertise,fairness,17,0.53125
shuffled_history,expertise,risk,8,0.25
shuffled_history,fairness,expertise,10,0.3125
shuffled_history,fairness,fairness,9,0.28125
shuffled_history,fairness,risk,13,0.40625
shuffled_history,risk,expertise,15,0.46875
shuffled_history,risk,fairness,6,0.1875
shuffled_history,risk,risk,11,0.34375
swap,expertise,expertise,24,0.6
swap,expertise,fairness,10,0.25
swap,expertise,risk,6,0.15
swap,fairness,expertise,15,0.375
swap,fairness,fairness,11,0.275
swap,fairness,risk,14,0.35
swap,risk,expertise,16,0.4
swap,risk,fairness,5,0.125
swap,risk,risk,19,0.475
