late_match,episode_seeds,stable_episodes_per_condition,swap_episodes,stable_power,swap_power,joint_power,joint_mc_ci_lo,joint_mc_ci_hi
0.45,4,12,24,0.18,0.587,0.1085,0.09561230386730667,0.12288879921389496
0.45,8,24,48,0.2855,0.8635,0.249,0.23054101108392183,0.2684213819515357
0.45,12,36,72,0.369,0.9595,0.356,0.33530937083616535,0.3772427590327823
0.45,16,48,96,0.4655,0.9875,0.459,0.43725973604706403,0.480897467596178
0.45,20,60,120,0.54,1.0,0.54,0.5181008980945958,0.5617457324973631
0.45,24,72,144,0.6385,1.0,0.6385,0.6171970061624477,0.6592719522622101
0.45,30,90,180,0.723,1.0,0.723,0.7029733544794209,0.7421716110707502
0.5,4,12,24,0.2825,0.857,0.2385,0.2203349416775277,0.2576677108275406
0.5,8,24,48,0.4655,0.9905,0.463,0.4412383911796475,0.4849034755227905
0.5,12,36,72,0.6195,0.9985,0.619,0.5975072646252354,0.6400364613858426
0.5,16,48,96,0.751,1.0,0.751,0.7315786180484644,0.7694589889160782
0.5,20,60,120,0.836,1.0,0.836,0.8191305773737494,0.851581119598706
0.5,24,72,144,0.907,1.0,0.907,0.8934792620660618,0.9189602042071209
0.5,30,90,180,0.95,1.0,0.95,0.9395556822705139,0.9587189118890244
0.55,4,12,24,0.41,0.97,0.401,0.3797299308839851,0.4226496584009165
0.55,8,24,48,0.679,1.0,0.679,0.6582125018528509,0.6991011700461656
0.55,12,36,72,0.837,1.0,0.837,0.8201683922663289,0.8525394704709254
0.55,16,48,96,0.927,1.0,0.927,0.9147619605802373,0.9376008209889248
0.55,20,60,120,0.97,1.0,0.97,0.9615756572620492,0.9766222521934685
0.55,24,72,144,0.9845,1.0,0.9845,0.9780832165164995,0.9890590965286036
0.55,30,90,180,0.9975,1.0,0.9975,0.9941607609565954,0.9989317070308943
0.6,4,12,24,0.559,0.998,0.557,0.5351407213950817,0.5786407271984598
0.6,8,24,48,0.8515,1.0,0.8515,0.8352418685486327,0.8664103977782067
0.6,12,36,72,0.9515,1.0,0.9515,0.9411887933111758,0.960080049495561
0.6,16,48,96,0.993,1.0,0.993,0.9882840292676033,0.995825692778291
0.6,20,60,120,0.995,1.0,0.995,0.990820204876819,0.9972818486986733
0.6,24,72,144,1.0,1.0,1.0,0.9980828823994873,1.0
0.6,30,90,180,1.0,1.0,1.0,0.9980828823994873,1.0
