condition,metric,round,mean,n
elicited_full_history,match,1,0.3333333333333333,60
elicited_full_history,match,2,0.31666666666666665,60
elicited_full_history,match,3,0.36666666666666664,60
elicited_full_history,match,4,0.4,60
elicited_full_history,match,5,0.35,60
elicited_full_history,match,6,0.3333333333333333,60
elicited_full_history,match,7,0.31666666666666665,60
elicited_full_history,match,8,0.3333333333333333,60
elicited_full_history,match,9,0.3,60
elicited_full_history,match,10,0.31666666666666665,60
elicited_full_history,match,11,0.35,60
elicited_full_history,match,12,0.31666666666666665,60
elicited_full_history,match,13,0.3333333333333333,60
elicited_full_history,match,14,0.35,60
elicited_full_history,match,15,0.3333333333333333,60
elicited_full_history,match,16,0.31666666666666665,60
elicited_full_history,match,17,0.3333333333333333,60
elicited_full_history,match,18,0.3333333333333333,60
elicited_full_history,match,19,0.3333333333333333,60
elicited_full_history,match,20,0.35,60
elicited_full_history,success,1,0.38333333333333336,60
elicited_full_history,success,2,0.43333333333333335,60
elicited_full_history,success,3,0.5333333333333333,60
elicited_full_history,success,4,0.43333333333333335,60
elicited_full_history,success,5,0.48333333333333334,60
elicited_full_history,success,6,0.43333333333333335,60
elicited_full_history,success,7,0.5166666666666667,60
elicited_full_history,success,8,0.55,60
elicited_full_history,success,9,0.5,60
elicited_full_history,success,10,0.45,60
elicited_full_history,success,11,0.5833333333333334,60
elicited_full_history,success,12,0.4666666666666667,60
elicited_full_history,success,13,0.5166666666666667,60
elicited_full_history,success,14,0.4666666666666667,60
elicited_full_history,success,15,0.5,60
elicited_full_history,success,16,0.55,60
elicited_full_history,success,17,0.5,60
elicited_full_history,success,18,0.4666666666666667,60
elicited_full_history,success,19,0.5,60
elicited_full_history,success,20,0.6,60
elicited_swap,match,1,0.3333333333333333,120
elicited_swap,match,2,0.35,120
elicited_swap,match,3,0.375,120
elicited_swap,match,4,0.4083333333333333,120
elicited_swap,match,5,0.35,120
elicited_swap,match,6,0.35833333333333334,120
elicited_swap,match,7,0.375,120
elicited_swap,match,8,0.35833333333333334,120
elicited_swap,match,9,0.35,120
elicited_swap,match,10,0.375,120
elicited_swap,match,11,0.2833333333333333,120
elicited_swap,match,12,0.3,120
elicited_swap,match,13,0.31666666666666665,120
elicited_swap,match,14,0.30833333333333335,120
elicited_swap,match,15,0.325,120
elicited_swap,match,16,0.31666666666666665,120
elicited_swap,match,17,0.30833333333333335,120
elicited_swap,match,18,0.30833333333333335,120
elicited_swap,match,19,0.3333333333333333,120
elicited_swap,match,20,0.31666666666666665,120
elicited_swap,success,1,0.49166666666666664,120
elicited_swap,success,2,0.48333333333333334,120
elicited_swap,success,3,0.425,120
elicited_swap,success,4,0.48333333333333334,120
elicited_swap,success,5,0.4666666666666667,120
elicited_swap,success,6,0.5166666666666667,120
elicited_swap,success,7,0.5416666666666666,120
elicited_swap,success,8,0.5,120
elicited_swap,success,9,0.5333333333333333,120
elicited_swap,success,10,0.5833333333333334,120
elicited_swap,success,11,0.525,120
elicited_swap,success,12,0.5333333333333333,120
elicited_swap,success,13,0.425,120
elicited_swap,success,14,0.45,120
elicited_swap,success,15,0.4583333333333333,120
elicited_swap,success,16,0.5083333333333333,120
elicited_swap,success,17,0.44166666666666665,120
elicited_swap,success,18,0.425,120
elicited_swap,success,19,0.5583333333333333,120
elicited_swap,success,20,0.55,120
