stage,frame,count,share,minimum,maximum
pool_overall,fairness,45,0.078125,0.25,0.42
pool_overall,risk,196,0.3402777777777778,0.25,0.42
pool_overall,expertise,335,0.5815972222222222,0.25,0.42
validation_overall,fairness,79,0.1371527777777778,0.25,0.42
validation_overall,risk,197,0.3420138888888889,0.25,0.42
validation_overall,expertise,300,0.5208333333333334,0.25,0.42
validation_development,fairness,46,0.10648148148148148,0.25,0.42
validation_development,risk,135,0.3125,0.25,0.42
validation_development,expertise,251,0.5810185185185185,0.25,0.42
validation_heldout,fairness,33,0.22916666666666666,0.25,0.42
validation_heldout,risk,62,0.4305555555555556,0.25,0.42
validation_heldout,expertise,49,0.3402777777777778,0.25,0.42
