episode_id,episode_index,old_type,new_type,transition,pre_new_match,pre_old_match,late_new_match,late_old_match,development_new_match,development_old_match,new_target_gain,old_target_drop,late_new_over_old,pre_new_over_old,revision_shift,development_revision_shift,rounds_to_adapt
swap-000-fairness-to-risk,0,fairness,risk,fairness_to_risk,0.16666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.8333333333333334,0.16666666666666666,-0.16666666666666666,0.3333333333333333,-0.3333333333333333,-0.5,0.16666666666666669,1.1666666666666667,4
swap-000-fairness-to-expertise,0,fairness,expertise,fairness_to_expertise,0.16666666666666666,0.6666666666666666,1.0,0.0,0.16666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,1.0,-0.5,1.5,0.0,8
swap-000-risk-to-fairness,0,risk,fairness,risk_to_fairness,0.0,1.0,0.16666666666666666,0.6666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.33333333333333337,-0.5,-1.0,0.5,0.16666666666666663,
swap-000-risk-to-expertise,0,risk,expertise,risk_to_expertise,0.16666666666666666,0.6666666666666666,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.6666666666666667,0.5,0.6666666666666667,-0.5,1.1666666666666667,1.0,5
swap-000-expertise-to-fairness,0,expertise,fairness,expertise_to_fairness,0.0,1.0,1.0,0.0,0.3333333333333333,0.5,1.0,1.0,1.0,-1.0,2.0,0.8333333333333333,7
swap-000-expertise-to-risk,0,expertise,risk,expertise_to_risk,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0,2.0,0.0,9
swap-001-fairness-to-risk,1,fairness,risk,fairness_to_risk,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,-1.0,1.0,1.3333333333333333,
swap-001-fairness-to-expertise,1,fairness,expertise,fairness_to_expertise,0.16666666666666666,0.0,0.0,0.3333333333333333,0.5,0.16666666666666666,-0.16666666666666666,-0.3333333333333333,-0.3333333333333333,0.16666666666666666,-0.5,0.1666666666666667,6
swap-001-risk-to-fairness,1,risk,fairness,risk_to_fairness,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,
swap-001-risk-to-expertise,1,risk,expertise,risk_to_expertise,0.8333333333333334,0.16666666666666666,1.0,0.0,1.0,0.0,0.16666666666666663,0.16666666666666666,1.0,0.6666666666666667,0.33333333333333326,0.33333333333333326,4
swap-001-expertise-to-fairness,1,expertise,fairness,expertise_to_fairness,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.16666666666666666,1.0,0.0,0.0,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666669,0.6666666666666667,4
