stable_did,revision_shift,episode_seeds,episodes,generations,stable_power,revision_power,joint_power,joint_mc_ci_lo,joint_mc_ci_hi,complete_pattern_power
0.1,0.15,8,144,3456,0.1512,0.3428,0.0556,0.04958280930059318,0.06229954924568855,0.0046
0.1,0.15,12,216,5184,0.2656,0.4828,0.1254,0.11650699319997775,0.13486819021909777,0.0042
0.1,0.15,16,288,6912,0.3392,0.511,0.1726,0.1623774760654212,0.18332523362866665,0.0024
0.1,0.15,20,360,8640,0.4186,0.5018,0.2092,0.19815118624266262,0.22069532560535435,0.0028
0.1,0.15,24,432,10368,0.4646,0.496,0.2266,0.21520857694307774,0.2384112178961514,0.0006
0.1,0.15,30,540,12960,0.5164,0.497,0.2556,0.2437000290413436,0.2678752374499059,0.0004
0.15,0.2,8,144,3456,0.3042,0.5826,0.1732,0.16296265056139636,0.18393913785652638,0.0526
0.15,0.2,12,216,5184,0.5218,0.7918,0.4158,0.40220837022344486,0.42952091553172383,0.1302
0.15,0.2,16,288,6912,0.6742,0.8266,0.5596,0.5457989705570695,0.5733095160105309,0.1604
0.15,0.2,20,360,8640,0.775,0.8674,0.6734,0.6602720118192865,0.6862617393690006,0.189
0.15,0.2,24,432,10368,0.8358,0.8874,0.7426,0.7302983596545825,0.7545291376826635,0.1888
0.15,0.2,30,540,12960,0.8844,0.9166,0.8088,0.7976643030733083,0.819461546793722,0.1904
0.2,0.25,8,144,3456,0.5034,0.7888,0.4,0.38650249118689867,0.41365105484061765,0.2348
0.2,0.25,12,216,5184,0.7794,0.948,0.7368,0.7244150993937687,0.7488213036130732,0.5338
0.2,0.25,16,288,6912,0.9004,0.975,0.8778,0.8684305044560042,0.88658939865204,0.716
0.2,0.25,20,360,8640,0.9606,0.9854,0.9466,0.9400181318445556,0.9524961315965573,0.812
0.2,0.25,24,432,10368,0.9832,0.992,0.9752,0.9705107532654795,0.9791595960117638,0.865
0.2,0.25,30,540,12960,0.9944,0.9954,0.9898,0.9866146287579864,0.9922333027992396,0.914
